Year,Title,Role,Notes
1984,Miami Vice,Bob Rickert,"Episode : Give a Little , Take a Little"
1985,ABC Afterschool Specials,Mike Rivers,Episode : Do n't Touch
1985,Tales From The Darkside,Mr. Smith,Episode : Distant Signals
1986,American Playhouse,Knowleton Whitney,Episode : Under the Biltmore Clock
1986,The Equalizer,Dan Turner,Episode : Shades of Darkness
1986,thirtysomething,Roy MacCaulay,Episode : We 'll Meet Again
1989,The Young Riders,Lt. Josey Cassidy,Episode : End of Innocence
1990,Grand,Jeremy,3 episodes
1990,Twin Peaks,Harold Smith,4 episodes
1991,The Flash,Jason Brassell,Episode : Twin Streaks
1992,Red Dwarf,Cop,Episode : Back to Reality
1996,Picket Fences,Gerald 'Gerry ' Bey,"Episode : Bye-Bye , Bey-Bey"
1996,Walker Texas Ranger,Adam 'The Hangman ' Quinn,Episode : Hall of Fame
1999,Chicago Hope,Tom Van Deusen,Episode : A Goy and His Dog
1999-2000,The Pretender,Mr. Cox,5 episodes
2000,The Magnificent Seven,Cyrus Poplar,Episode : Penance
2002,CSI : Miami,Professor Adam Metzger,Episode : A Horrible Mind
2007,Ghost Whisperer,Steve Wheeler,Episode : Children of Ghosts
2009,Criminal Minds,Record Exec # 1,Episode : The Performer
2010,Psych,Sheriff Andrew Jackson,Episode : Dual Spires
