Player,Years,Seasons & Teams
Roger Connor,6,1885-90 New York
Jake Beckley,6,1890 Pittsburgh ( PL ) ; 1891-95 Pittsburgh
Sam Crawford,5,1900-02 Cincinnati ; 1903-04 Detroit
Elmer Flick,5,1903-07 Cleveland
Goose Goslin,5,1923-27 Washington ( AL )
Paul Waner,5,1926-30 Pittsburgh
Bill Kuehne,4,1884 Columbus ( AA ) ; 1885-87 Pittsburgh
Joe Kelley,4,"1893-96 , 1898 Baltimore ( NL )"
Buck Freeman,4,1901-04 Boston ( AL )
Sam Crawford,4,1912-15 Detroit
George Sisler,4,1919-22 St. Louis ( AL )
Earle Combs,4,1927-30 New York ( AL )
