Team,Home city,Stadium,Capacity
AS Aïn M'lila,Aïn M'lila,Touhami Zoubir Khelifi Stadium,"8,000"
ASO Chlef,Chlef,Stade Mohamed Boumezrag,"20,000"
CA Bordj Bou Arréridj,Bordj Bou Arréridj,"August 20 , 1955 Stadium","25,000"
CR Belouizdad,Algiers,Stade 20 Août 1955,"10,000"
CS Constantine,Constantine,Stade Mohamed Hamlaoui,"40,000"
ES Sétif,Sétif,Stade 8 Mai 1945,"25,000"
JS Kabylie,Tizi Ouzou,Stade 1er Novembre 1954,"15,000"
JS Saoura,Béchar,Stade 20 Août 1955,"20,000"
MC Alger,Algiers,Stade 5 Juillet 1962,"64,000"
MC Oran,Oran,Stade Ahmed Zabana,"40,000"
NA Hussein Dey,Algiers,Stade 20 Août 1955,"10,000"
NC Magra,Magra,Boucheligue Brothers Stadium,"5,000"
Paradou AC,Algiers,Stade Omar Hamadi,"10,000"
US Biskra,Biskra,Complexe Sportif d'El Alia,"15,000"
USM Alger,Algiers,Stade Omar Hamadi,"10,000"
USM Bel Abbès,Sidi Bel Abbès,Stade 24 Fevrier 1956,"45,000"
