District,Senator,Party,Residence,First elected,Term Limited
1,Steve Buehrer [ 1 ],Republican,Delta,2006,2014
2,Mark Wagoner [ 2 ],Republican,Toledo,2008 ( Appt . ),2016
3,David Goodman [ 3 ],Republican,New Albany,2001 ( Appt . ),2010
4,Gary Cates [ 4 ],Republican,West Chester,2004,2012
5,Fred Strahorn,Democratic,Dayton,2009 ( Appt . ),2018
6,Jon Husted [ 5 ],Republican,Kettering,2008,2016
7,Shannon Jones [ 6 ],Republican,Springboro,2009 ( Appt . ),2018
8,Bill Seitz [ 7 ],Republican,Cincinnati,2007 ( Appt . ),2016
9,Eric Kearney [ 8 ],Democratic,Cincinnati,2005 ( Appt . ),2014
10,Chris Widener [ 9 ],Republican,Springfield,2008,2016
11,Teresa Fedor [ 10 ],Democratic,Toledo,2002,2010
12,Keith Faber [ 11 ],Republican,Celina,2007 ( Appt . ),2016
13,Sue Morano [ 12 ],Democratic,Lorain,2006,2014
14,Tom Niehaus [ 13 ],Republican,New Richmond,2004,2012
15,Ray Miller [ 14 ],Democratic,Columbus,2002,2010
16,Jim Hughes [ 15 ],Republican,Columbus,2008,2016
17,John Carey [ 16 ],Republican,Wellston,2002,2010
18,Timothy Grendell [ 17 ],Republican,Chesterland,2004,2012
19,Bill Harris [ 18 ],Republican,Ashland,2000 ( Appt . ),2010
20,Jimmy Stewart,Republican,Athens,2008,2016
