Rank,Country,Team,Points
1,England,Mike Tagg Trevor Wright Dick Taylor Ricky Wilde Mike Turner Mike Baxter,35
2,France,Noel Tijou René Jourdan Lucien Rault Michel Bernard Antoine Borowski Jean-Pierre Ouine,85
3,Belgium,Gaston Roelants Emiel Puttemans Joseph Prinsen Achille Vaes Paul Thijs André de Hertoghe,136
4,Tunisia,Abdelkader Zaddem Mhedheb Hannachi Adelaziz Bouguerra Hamdouni Sghaier Ali Khamassi Labidi Ayachi,187
5,Scotland,Lachie Stewart Bill Mullett Jim Alder Adrian Weatherhead Dick Wedlock Norman Morrison,201
6,Italy,Giovanni Pizzi Renato Martini Giuseppe Ardizzone Brunello Bertolin Giacomo Marietta Giuseppe Cindolo,273
7,Spain,Javier Álvarez Juan Hidalgo Fernando Fernandez José Maiz Carlos Pérez Fernando Aguilar,302
8,Ireland,Sean O'Sullivan Pat Gilseman Tom O'Riordan Paddy Coyle Matt Murphy Eddie Spillane,315
9,Canada,Grant McLaren Dave Ellis Bob Moore Ray Haswell Dave Surman Jerry Tighe,364
10,Wales,Bernie Plain Nigel Evans Malcolm Thomas Alan Joslyn Tony Simmons Paul Darney,368
11,Switzerland,Werner Dössegger Georg Kaiser Josef Wirth Albrecht Moser Josef Fähndrich Fritz Schneider,393
12,Northern Ireland,Derek Graham Mike Teer David Logue Cyril Pennington Malcolm Edger Alfred Chivers,410
13,United States,Kenny Moore Tom Heinonen John Loeschhorn Cliff Clark Charles Messenger Bill Norris,424
