Year,Winner,Country,Time
2005,Sandra Ruales,Ecuador,2:41:40
2006,Sandra Ruales,Ecuador,2:45:58
2007,Nancy Rosero,Ecuador,2:49:30
2008,Sandra Ruales,Ecuador,2:50:40
2009,Sandra Ruales,Ecuador,2:45:25
2010,Rose Jebet,Kenya,2:45:35
2011,Nancy Osorio,Ecuador,2:57:24
2012,Monica Cajamarca,Ecuador,3:03:05
2013,Olga Tabla,Colombia,2:50:32
2014,Carmen Molina,Ecuador,3:12:04
2015,Margaret Toroitich,Kenya,2:48:01
2016,Angela Brito,Ecuador,2:51:22
2017,Silvia Paredes,Ecuador,2:58:04
2018,Silvia Paredes,Ecuador,2:52:27
