Medal,Name,Games,Sport,Event
Silver,Rhadi Ben Abdesselam,1960 Rome,Athletics,Men 's marathon
Gold,Nawal El Moutawakel,1984 Los Angeles,Athletics,Women 's 400 metre hurdles
Gold,Saïd Aouita,1984 Los Angeles,Athletics,"Men 's 5,000 metres"
Gold,Brahim Boutayeb,1988 Seoul,Athletics,"Men 's 10,000 metres"
Bronze,Saïd Aouita,1988 Seoul,Athletics,Men 's 800 metres
Bronze,Abdelhak Achik,1988 Seoul,Boxing,Men 's featherweight
Gold,Khalid Skah,1992 Barcelona,Athletics,"Men 's 10,000 metres"
Silver,Rachid El Basir,1992 Barcelona,Athletics,"Men 's 1,500 metres"
Bronze,Mohammed Achik,1992 Barcelona,Boxing,Men 's bantamweight
Bronze,Salah Hissou,1996 Atlanta,Athletics,"Men 's 10,000 metres"
Bronze,Khalid Boulami,1996 Atlanta,Athletics,"Men 's 5,000 metres"
Silver,Hicham El Guerrouj,2000 Sydney,Athletics,"Men 's 1,500 metres"
Bronze,Ali Ezzine,2000 Sydney,Athletics,"Men 's 3,000 metre steeplechase"
Bronze,Nezha Bidouane,2000 Sydney,Athletics,Women 's 400 metre hurdles
Bronze,Brahim Lahlafi,2000 Sydney,Athletics,"Men 's 5,000 metres"
Bronze,Tahar Tamsamani,2000 Sydney,Boxing,Men 's featherweight
Gold,Hicham El Guerrouj,2004 Athens,Athletics,"Men 's 1,500 metres"
Gold,Hicham El Guerrouj,2004 Athens,Athletics,"Men 's 5,000 metres"
Silver,Hasna Benhassi,2004 Athens,Athletics,Women 's 800 metres
Silver,Jaouad Gharib,2008 Beijing,Athletics,Men 's marathon
