Title,Year,Platform,Notes
Itadaki Street : Watashi no Omise ni Yottette,JP : 1991,Famicom,"Itadaki Street : Watashi no Omise ni Yottette was developed by Loginsoft and released on the Famicom on March 21 , 1991 . It was published by ASCII"
Itadaki Street 2 : Neon Sign wa Bara Iro ni,JP : 1994,Super Famicom,"Itadaki Street 2 : Neon Sign wa Bara Iro ni operates like a junior version of Super Okuman Chouja Game . Instead of the players making purchases and sales completely on their own , the game offers advice for important situations . There are many themes including modern , futuristic , and the map of the world . Players that are controlled by the game 's artificial intelligence range from teenagers to senior citizens . Players can move from 1 to 9 squares and must allow collect symbols from playing cards in order to get money from the bank . Casino gambling is also available and it includes Bingo and slot machines . Like in Tower Dream , the game instantly ends if the only human player gets bankrupt in a game involving 3 AI-controlled players and 1 human-controlled player"
Itadaki Street : Gorgeous King,JP : 1998,PlayStation,"Itadaki Street : Gorgeous King was released on the PlayStation in 1998 . It was published by Enix . As of December 2004 , the game has sold over 281,000 copies"
Itadaki Street 3 Okumanchouja ni Shite Ageru : Kateikyoushi Tsuki,JP : 2002,PlayStation 2,"Itadaki Street 3 Okumanchouja ni Shite Ageru : Kateikyoushi Tsuki was developed by Tamsoft / Crea-Tech and released on the PlayStation 2 in 2002 . It was published by Enix . In release , the game was sold 163,659 copies in 2002 , and Famitsu magazine scored the game a 32 out of 40"
Dragon Quest & Final Fantasy in Itadaki Street Special,JP : 2004,PlayStation 2,"Dragon Quest & Final Fantasy in Itadaki Street Special was released on December 22 , 2004 by Square Enix for the PlayStation 2 . One to four players can play at the same time which makes this game different from its predecessors . The game features characters from Dragon Quest and Final Fantasy . As of August 31 , 2005 , the game has sold 380,000 units in Japan"
Dragon Quest & Final Fantasy in Itadaki Street Portable,JP : 2006,PlayStation Portable,"Dragon Quest & Final Fantasy in Itadaki Street Portable includes characters from Square Enix 's Dragon Quest and Final Fantasy video game series , though some reviewers said the franchises did not add much to the game"
Itadaki Street DS,JP : 2007,Nintendo DS,"Itadaki Street DS includes characters from Square Enix 's Dragon Quest series and Nintendo 's Super Mario franchises , many of which were redrawn to look younger . The game was the second crossover between Nintendo and Square Enix characters . The games website featured a character creator mixing Mario and Dragon Quest franchises . The Japanese magazine Famitsu gave the game 36/40 points . The game sold 430,000 copies as of August 2008"
Itadaki Street Mobile,JP : 2007,Mobile phones,"Itadaki Street Mobile included no branded characters from any video game franchise . The game was a simplified version of the series , and before release a demo was made available that included Shell Island , one of the beginners boards"
Dragon Quest & Final Fantasy in Itadaki Street Mobile,JP : 2010,Mobile phones,Dragon Quest & Final Fantasy in Itadaki Street Mobile features Final Fantasy characters from many different Final Fantasy games including Lightning from Final Fantasy XIII in a chibi art style
Fortune Street Released in Japan as Itadaki Street Wii ( いただきストリートWii ) and in Europe as Boom Street,JP : 2011-12-01 NA : 2011-12-05 EU : 2011-12-23 / 2012-01-06 AU : 2012-01-05,Wii,"Fortune Street was revealed by Nintendo at E3 2011 for the Wii , released on December 1 , 2011 in Japan , December 5 in North America , December 23 in Europe ( or January 6 for another part ) , and January 5 in Australia . It was the first game in the series to be published outside Japan . The game includes characters from the Dragon Quest series and the Mario series"
Fortune Street Smart Released in Japan as Itadaki Street for Smartphone ( いただきストリート for SMARTPHONE ) and in Europe as Boom Street Smart,JP : 2012 WW : 2012,"Android , iOS","Fortune Street Smart is an entry in the series developed for smartphones . In Japan , the game was released for Android devices on January 23 , 2012 through the Square Enix Market , and for Apple iOS on March 22 , 2012 through the App Store . The game was released overseas for iOS on May 31 , 2012 through the App Store . It does not feature licensed characters from other series such as Dragon Quest , Final Fantasy and Mario"
Itadaki Street : Dragon Quest and Final Fantasy 30th Anniversary,JP : 2017,"PlayStation 4 , PlayStation Vita","Developed by Tose and released in Japan on October 19 , 2017"
