Club,League/Division,Lvl,State,City
Kahibah FC,Northern NSW State League Division 1,3,New South Wales,Lake Macquarie
Keilor Park,Victorian State League Division 1,4,Victoria,Melbourne
Keilor Wolves,Victorian State League Division 5,8,Victoria,Melbourne
Kelmscott Roos,Football West State League Division 2,4,Western Australia,Perth
Keon Park,Victorian State League Division 5,8,Victoria,Melbourne
Keysborough,Victorian State League Division 4,7,Victoria,Melbourne
Kingborough Lions United,National Premier Leagues Tasmania,2,Tasmania,Hobart
Kings Domain,Victorian State League Division 4,7,Victoria,Melbourne
Kingston City,National Premier Leagues Victoria 2,2,Victoria,Melbourne
Knox City,Victorian State League Division 3,6,Victoria,Melbourne
Kyneton District,Victorian State League Division 5,8,Victoria,Kyneton
