Church,Dates,"City , State"
Baptist Temple,1894 built ; 1995 NRHP-listed,"Brooklyn , New York"
"Greenwood Baptist Church ( Brooklyn , New York )",1900 built ; 2016 NRHP-listed,"Brooklyn , New York"
Sand Lake Baptist Church,1805 built ; 2004 NRHP-listed,"Averill Park , New York"
Wheatland Baptist Cemetery,built NRHP-listed,"Belcoda , New York"
Tremont Baptist Church,1904-1912 built ; 2009 NRHP-listed,"Bronx , New York"
"Macedonia Baptist Church ( Buffalo , New York )",built NRHP-listed,"Buffalo , New York"
First Baptist Church of Camillus,built NRHP-listed,"Camillus , New York"
First Baptist Church and Cook Memorial Building,built NRHP-listed,"Carthage , New York"
"First Baptist Church ( Charleston , New York )",built NRHP-listed,"Charleston , New York"
Clifton Park Center Baptist Church and Cemetery,built NRHP-listed,"Clifton Park Center , New York"
Delphi Baptist Church,built NRHP-listed,"Delphi Falls , New York"
Seventh Day Baptist Church,built NRHP-listed,"DeRuyter , New York"
Duanesburg-Florida Baptist Church,built NRHP-listed,"Duanesburg , New York"
First Baptist Church of Fairport,built NRHP-listed,"Fairport , New York"
Fenner Baptist Church,built NRHP-listed,"Fenner , New York"
"First Baptist Church ( Geneva , New York )",built NRHP-listed,"Geneva , New York"
Old School Baptist Church of Halcottsville,built NRHP-listed,"Halcottsville , New York"
Hartford Baptist Church and Cemetery,built NRHP-listed,"Hartford , New York"
St. Mark 's Baptist Church,built NRHP-listed,"Village of Highland Falls , New York"
First Baptist Church of Interlaken,built NRHP-listed,"Interlaken , New York"
