Name,Country,Sport,Anti-doping rule violation
Blagoi Blagoev,Bulgaria,Weightlifting,Anabolic steroid
Mark Cameron,United States,Weightlifting,Anabolic steroid
Paul Cerutti,Monaco,Shooting,Amphetamine
Dragomir Cioroslan,Romania,Weightlifting,Fencamfamine
Philippe Grippaldi,United States,Weightlifting,Anabolic steroid
Zbigniew Kaczmarek,Poland,Weightlifting,Anabolic steroid
Valentin Khristov,Bulgaria,Weightlifting,Anabolic steroid
Lorne Liebel,Canada,Sailing,Phenylpropanolamine
Arne Norrback,Sweden,Weightlifting,Anabolic steroid
Peter Pavlasek,Czechoslovakia,Weightlifting,Anabolic steroid
Danuta Rosani,Poland,Athletics,Anabolic steroid
