Program,Channel,Debut date
/ Growing Up Creepie,ABC TV,27 February
Monster Warriors,ABC TV,7 March
Wow ! Wow ! Wubbzy !,ABC TV,22 March
Shaun the Sheep,ABC TV,27 March
Grossology,ABC TV,6 April
My Goldfish is Evil,ABC TV,17 April
Fluffy Gardens,ABC TV,10 May
Life on Mars,ABC TV,20 May
/ / Skunk Fu !,ABC TV,28 May
The Roman Mysteries,ABC TV,5 June
Hyperdrive,ABC TV,27 June
Ergo Proxy,ABC2,3 July
Captain Flamingo,ABC TV,4 July
The Spooky Sisters,ABC TV,9 August
/ Dinosapien,ABC TV,14 August
Noein : To Your Other Self,ABC 2,21 August
Mama Mirabelle 's Home Movies,ABC TV,11 September
/ SamSam,ABC TV,17 September
/ The Upside Down Show,ABC TV,17 October
LazyTown,ABC TV,22 October
