Year,Title,Language
1971,Shantata ! Court Chalu Aahe,Marathi
1974,Jadu Ka Shankh जादू का शंख,Hindi
1975,Zindagi Aur Toofan,Hindi
1977,Jait Re Jait जैत रे जैत,Marathi
1977,Bhumika,Hindi
1978,Arvind Desai Ki Ajeeb Dastaan अरविंद देसाई की अजीब दास्तान,Hindi
1978,Kondura,Hindi / Telugu
1978,Gaman,Hindi
1980,Albert Pinto Ko Gussa Kyoon Aata Hai अल्बर्ट पिंटो को गुस्सा क्यों आता है,Hindi
1980,Kasturi कस्तूरी,Hindi
1980,Yeh Kaisa Insaf यह कैसा इंसाफ,Hindi
1982,Vijeta,Hindi
1982,Sitam सितम,Hindi
1982,Bheegi Palkein,Hindi
1982,Ramnagari रामनगरी,Hindi
1984,Duniya दुनिया,Hindi
1984,Hech Maza Maher हेच माझं माहेर,Hindi
1985,Ghar Dwaar घर द्वार,Hindi
1985,Janu जानू,Hindi
1985,Sur Sangam सुर संगम,Hindi
