,River,Length within Croatia ( km ),Total length ( km ),Drains into
1,Sava,562,945,Danube
2,Drava,505,749,Danube
3,Kupa,296,296,Sava
4,Danube,188,2860,Black Sea
5,Bosut,151,186,Sava
6,Korana,134,134,Kupa
7,Bednja,133,133,Drava
8,Lonja-Trebež,133,133,Sava
9,Česma,124,124,Lonja-Trebež
10,Una,120,212,Sava
11,Vuka,112,112,Danube
12,Dobra,104,104,Kupa
13,Cetina,101,101,Adriatic Sea
14,Glina,100,100,Kupa
15,Karašica,91,91,Drava
16,Sutla,89,92,Sava
17,Orljava,89,89,Sava
18,Ilova,85,85,Lonja-Trebež
19,Odra,83,83,Kupa
20,Lika,78,78,
