Date,Name,Nationality,Moving from,Moving to,Fee
1 August 2011,Alessandro Diamanti,Italy,Brescia,Bologna,"Co-ownership , €1.5M"
1 August 2011,Mirko Vučinić,Montenegro,Roma,Juventus,€15M
1 August 2011,Maarten Stekelenburg,Netherlands,Ajax,Roma,€6.325M + Bonus ( up to €1.5M )
2 August 2011,Mattia Longo,Italy,Milan ( youth ),Atalanta ( youth ),Undisclosed
2 August 2011,Nicolò Bianchi,Italy,Novara ( youth ),Foggia,Loan
2 August 2011,Laurent Lanteri,France,Novara,Foggia,Loan
2 August 2011,Renan Wagner,Brazil,Varese ( youth ),Foggia,Loan
2 August 2011,Matteo Barzotti,Italy,Novara,Folgore-Caratese ( amateur ),Loan
2 August 2011,Allan Nyom,France,Udinese,Granada,Loan
2 August 2011,Enrico Tonozzi,Italy,SPAL ( youth ),Novara ( youth ),Loan
2 August 2011,Marco Dalla Costa,Italy,Novara,Pro Patria,Loan
2 August 2011,Andrea Barberis,Italy,Varese ( youth ),Palermo,Loan
2 August 2011,Jasmin Kurtić,Slovenia,Palermo,Varese,Loan
2 August 2011,Pietro Tripoli,Italy,Varese,Pro Vercelli,Loan
2 August 2011,Mattia Proietti,Italy,Juventus,Bassano,Co-ownership
2 August 2011,Benedetto Lorusso,Italy,Bari,Valenzana,Loan
2 August 2011,Christian Terlizzi,Italy,Catania,Varese,Free
2 August 2011,Luigi Monopoli,Italy,Bari ( youth ),Viareggio,Loan
2 August 2011,Pierangelo Tarantino,Italy,Bari ( youth ),Viareggio,Loan
3 August 2011,Daniele Granata,Italy,Pescara ( youth ),Casale,"Co-ownership , €500"
