Name,Country,since,sport,Link
Serik Sapiyev,Kazakhstan,August 2013,boxing,[ 1 ]
Virgilijus Alekna,Lithuania,23 November 2007,discus throw,[ 2 ]
Veronica Campbell-Brown,Jamaica,2008,sprint,[ 3 ]
Serhiy Bubka,Ukraine,2003,pole vault,[ 4 ]
David Douillet,France,2002,judo,[ 5 ]
Vyacheslav Fetisov,Russia,26 May 2004,ice hockey,[ 6 ]
Hakuho ( Davaajargal Munkhbat ),Mongolia,27 July 2006,sumo wrestling,[ 7 ]
Justine Henin,Belgium,14 December 2006,tennis,[ 8 ]
Vitaliy & Wladimir Klitschko,Ukraine,4 December 2006,boxing,[ 9 ]
Pelé,Brazil,June 1994,association football,[ 10 ]
Michael Schumacher,Germany,2002,Formula One racing,[ 11 ]
Jacqueline Jackie Silva,Brazil,2009,beach volleyball,[ 12 ]
Óscar Tabárez,Uruguay,30 January 2012,association football,[ 13 ]
