,Members,Group,State,Votes
1,Giovanni Pittella,S & D,Italy,360
2,Rodi Kratsa-Tsagaropoulou,EPP,Greece,355
3,Stavros Lambrinidis,S & D,Greece,346
4,Miguel Angel Martínez Martínez,S & D,Spain,327
5,Alejo Vidal-Quadras,EPP,Spain,308
6,Dagmar Roth-Behrendt,S & D,Germany,287
7,Libor Rouček,S & D,Czech Republic,278
8,Isabelle Durant,Greens/EFA,Belgium,276
9,Roberta Angelilli,EPP,Italy,274
10,Diana Wallis,ALDE,United Kingdom,272
11,Pál Schmitt,EPP,Hungary,257
12,Edward McMillan-Scott,Non-attached,United Kingdom,244
13,Rainer Wieland,EPP,Germany,237
14,Silvana Koch-Mehrin,ALDE,Germany,186
