Code,Landmark name,Locality,Neighborhood,Description
( CHL 689 ),Los Encinos State Historic Park,16756 Moorpark St. 34°09′37″N 118°29′54″W / 34.16028°N 118.49833°W / 34.16028 ; -118.49833 ( CHL 689 . Los Encinos State Historic Park ),Encino,Rancho El Encino : Franciscan padres used Encino as their headquarters while exploring the valley before establishing Mission San Fernando in 1797
( 2702 ),Portal of the Folded Wings Shrine to Aviation & Museum,10621 Victory Blvd . 34°11′25″N 118°21′13″W / 34.19028°N 118.35361°W / 34.19028 ; -118.35361 ( 2702 . Portal of the Folded Wings ),North Hollywood,Memorial to pioneers of aviation located on grounds of Valhalla Memorial Park Cemetery
( CHL 150 ),Brand Park ( Memory Garden ),15174 San Fernando Mission Blvd . 34°16′21″N 118°27′43″W / 34.27250°N 118.46194°W / 34.27250 ; -118.46194 ( CHL 150 . Brand Park ( Memory Garden ) ),Mission Hills,"Former Mission gardens across from Mission San Fernando Rey , now operated as a public park"
( 2179 ),Toluca Southern Pacific Depot,11275 Chandler Blvd & 5351 Lankershim Blvd,North Hollywood,Former Southern Pacific and Pacific Electric station at the site of the current Red/Orange Line hub
( 2412 ),Rancho Del Norte,18904 Nordhoff St. & 9051 Wilbur Ave,Northridge,
( 2414 ),New Mission Theatre,9015 Wilbur Ave,Northridge,Mission-style theater built in 1987 by Elisabeth Waldo for use by the Multi-Cultural Music and Art Foundation of Northridge
( 2451 ),Phil 's Diner,Formerly 11138 Chandler Blvd . Now 5230 Lankershim Blvd . 34°9′56.57″N 118°22′29.72″W / 34.1657139°N 118.3749222°W / 34.1657139 ; -118.3749222,North Hollywood,Diner built in the 1920s ; moved and re-opened in 2008 at the corner of Lankershim and Weddington -- across from the El Portal Theater
( 2517 ),Van Nuys Post Office Building,14530 Sylvan St. 34°11′04″N 118°27′00″W / 34.18444°N 118.45000°W / 34.18444 ; -118.45000 ( 2517 . Van Nuys Post Office Building ),Van Nuys,Spanish Colonial style structure built in 1935 ; formerly the Van Nuys Post Office
( 2518 ),"Masonic Temple ( North Hollywood , California )",5122-5124 Tujunga Ave. 34°09′49″N 118°22′44″W / 34.16361°N 118.37889°W / 34.16361 ; -118.37889 ( 2518 . Masonic Temple ),North Hollywood,Mayan-style Masonic Temple in North Hollywood designed by architect Robert Stacy-Judd
( CHL 716 ),Griffith Ranch,Sylmar and San Fernando,Foothill Blvd . and Vaughn St,Ranch purchased by D.W. Griffith in 1912 in the northeast valley ; Birth of a Nation and many westerns were filmed on the ranch ; a historic marker is located at Foothill Blvd . and Vaughn St
