No,Position,Player,Nation
1,Goalkeeper,Jimmy Nielsen ( Captain ),Denmark
2,Defender,Michael Harrington,United States
3,Defender,Korede Aiyegbusi,England
4,Defender,Kevin Ellis ( HGP ),United States
5,Defender,Matt Besler,United States
6,Midfielder,Paulo Nagamura,Brazil
7,Defender,Chance Myers,United States
8,Midfielder,Graham Zusi,United States
9,Forward,Teal Bunbury,United States
11,Midfielder,Bobby Convey,United States
12,Midfielder,Konrad Warzycha,Poland
13,Midfielder,Lawrence Olum,Kenya
14,Forward,Dom Dwyer ( GA ),England
15,Midfielder,Roger Espinoza,Honduras
16,Defender,Seth Sinovic,United States
17,Forward,C. J. Sapong,United States
18,Goalkeeper,Eric Kronberg,United States
19,Midfielder,Peterson Joseph,Haiti
20,Midfielder,Oriol Rosell,Spain
21,Goalkeeper,Jon Kempin ( HGP ),United States
