IDE,Developer,Latest stable release,Platform,License,Written in
Anjuta,Anjuta Team,June 2013,Unix-like,GPL,C
Atom,GitHub,"1.33.1 / December 19 , 2018",Cross-platform,MIT License,JavaScript
Brackets,Adobe,September 2017,Cross-platform,MIT License,"JavaScript , HTML , CSS"
Aptana Studio,"Aptana , Inc",December 2013,Cross-platform,"GPL , proprietary","Java , JavaScript"
Codeanywhere,"Codeanywhere , Inc",August 2015,Cloud IDE,Proprietary,JavaScript
CodeLite,CodeLite,October 2015,Cross-platform,GPL,C++
Eclipse Web Tools,IBM,,"Windows , Linux , macOS , FreeBSD , JVM , Solaris",EPL,"C , Java"
Komodo IDE / Edit,ActiveState,"November 19 , 2013",Cross-platform,"IDE : Proprietary , Edit : MPL 1.1","C , C++ , JavaScript , Perl , Python , Tcl , XUL"
NetBeans,Oracle,"9.0 / July 29 , 2018 ; 18 months ago ( 2018-07-29 )",Cross-platform,"CDDL , GPL2",Java
Nodeclipse NTS,Nodeclipse,"March 31 , 2014","Windows , Linux , macOS , FreeBSD , JVM , Solaris",EPL,Java
NuSphere PhpED,NuSphere,June 2011,Windows,Proprietary,N/A
Oracle JDeveloper,Oracle Corporation,July 2013,"Windows , Linux , macOS",Proprietary - free,Java
Servoy,Servoy Developer Team,June 2011,Cross-platform,Servoy License,Java
SlickEdit,SlickEdit,October 2016,"Windows , Linux , macOS , Solaris , AIX , HP-UX",Proprietary,C++
Visual Studio,Microsoft,"March 31 , 2016",Windows,Proprietary,"C++ , C #"
Visual Studio Code,Microsoft,"1.30.2 / January 8 , 2019",Cross-platform,MIT License,JavaScript
WebStorm,JetBrains,2019.1/ 25 March 2019,Cross-platform,Proprietary,Java
