Year,Serial,Character,Channel
2004,Hatim,Shehzad,Star Plus
2006-2007,Karam Apnaa Apnaa,Sumit Malhotra,Star Plus
2007-2008,Khwaish,Salman,Sony TV
2008,Kis Desh Mein Hai Meraa Dil,Manmeet / Prashant,Star Plus
2008-2010,Chotti Bahu - Sindoor Bin Suhagan,Dev Raj Purohit,Zee TV
2010,Baat Hamari Pakki Hai,Dev Raj Purohit,Sony TV
2010,Ram Milaye Jodi,Dev Raj Purohit,Zee TV
2011-2012,Chhoti Bahu - Sawar Ke Rang Rachi,Dev Raj purohit,Zee TV
2012,Teri Meri Love Stories,Ishaan,Star Plus
2013-2015,Iss Pyaar Ko Kya Naam Doon ? ... Ek Baar Phir,Shlok Agnihotri,Star Plus
2015-2016,Qubool Hai,Armaan Raza Sheikh,Zee TV
2016,Balika Vadhu,Dr. Amit Goel,Colors TV
2017,İzle 7 - Avinash Sachdev Özel,Himself,
2017,Ayushman Bhava,Avinash Dubey,Star Bharat
2019,Main Bhi Ardhangini,Madhav Singh Thakur,& TV
2019,Nach Baliye 9,Himself,Star Plus
