Rank,Forest,Area ( km² ),Location
1,Silkeborgskovene,224.00,Central Jutland
2,Rold Skov,80.00,Himmerland
3,Klosterheden,64.00,Western Jutland
4,Gribskov,55.00,Northern Zealand
5,Almindingen,50.00,Bornholm
6,Kompedal Plantage - Alhedens Skov,46.00,Central Jutland
7,"Løvenholm , Fjeld , Ramten and others",43.00,Central Jutland
8,"Vesterskov , Thorsø , Sønderskov , Rye Nørreskov and others",41.00,Central Jutland
9,"Skramsø , Skærsø , Lyngsbæk and others",40.00,Djursland
10,Slagelseskovene,39.00,Central Zealand
10,"Tvorup , Nystrup , Vandet plantager",39.00,Thy
