City,Residents ( 1991 Census ),GDP Index ( Yugoslavia=100 ),Republic
Belgrade,"1,552,151",147,SR Serbia
Zagreb,"777,826",188,SR Croatia
Sarajevo,"527,049",133,SR Bosnia and Herzegovina
Skopje,"506,926",90,SR Macedonia
Ljubljana,"326,133",260,SR Slovenia
Novi Sad,"299,294",172,SR Serbia
Niš,"253,124",110,SR Serbia
Split,"221,456",137,SR Croatia
Banja Luka,"195,692",97,SR Bosnia and Herzegovina
Pristina,"155,499",70,SR Serbia
Kragujevac,"144,608",114,SR Serbia
Smederevo,"144,107",182,SR Serbia
Rijeka,"143,964",213,SR Croatia
Titograd,"136,473",87,SR Montenegro
