Club,Greek name,Settlement,Regional unit,Region
Agrotikos Asteras,Αγροτικός Αστέρας,Evosmos,Thessaloniki,Central Macedonia
Almopos Aridaea,Αλμωπός Αριδαίας,Aridaea,Pella,Central Macedonia
Anagennisi Giannitsa,Αναγέννηση Γιαννιτσών,Giannitsa,Pella,Central Macedonia
Aris Palaiochori,Άρης Παλαιοχωρίου,Palaiochori,Chalkidiki,Central Macedonia
Astrapi Mesopotamia,Αστραπή Μεσοποταμιάς,Mesopotamia,Kastoria,West Macedonia
Edessaikos,Εδεσσαϊκός,Edessa,Pella,Central Macedonia
Makedonikos,Μακεδονικός,Neapoli,Thessaloniki,Central Macedonia
Megas Alexandros Trikala,Μέγας Αλέξανδρος Τρικάλων,Trikala,Imathia,Central Macedonia
Nea Kallikrateia,Νέα Καλλικράτεια,Kallikrateia,Chalkidiki,Central Macedonia
Niki Agkathia,Νίκη Αγκαθιάς,Agkathia,Imathia,Central Macedonia
PAS Florina,Π.Α.Σ . Φλώρινα,Florina,Florina,West Macedonia
Poseidon Michaniona,Ποσειδών Μηχανιώνας,Michaniona,Thessaloniki,Central Macedonia
Seirina,Σειρήνα,Grevena,Grevena,West Macedonia
Thermaikos,Θερμαϊκός,Thermi,Thessaloniki,Central Macedonia
Thyella Sarakinoi,Θύελλα Σαρακηνών,Sarakinoi,Pella,Central Macedonia
