Call letters,Channel,Network ( s ),City and state,Meaning or notes
KRBC-TV,29 PSIP/cable 9,NBC,"Abilene , Texas",R eporter B roadcasting C ompany ( was once co-owned with KRBC radio )
KRBK,22 PSIP 49,Fox,"Osage Beach , Missouri","Branded by its cable channel number , 5"
KRCA,35 PSIP 62,Estrella TV,"Riverside , California","R iverside , Ca lifornia"
KRCB,23 PSIP 22,PBS,"Cotati , California",
KRCG,12 PSIP/cable 13,CBS,"Jefferson City , Missouri",R obert C . G oshorn ( father of founder )
KRCR-TV,7 PSIP 7,7.1 ABC 7.2 MeTV,"Redding , California",R edding- C hico- R ed Bluff
KRCW-TV,33 PSIP 32,32.1 The CW 33.3 This TV,"Salem / Portland , Oregon",
KRDK-TV,38 PSIP/cable 4,Dark,"Valley City , North Dakota",
KRDO-TV,24 PSIP 13,ABC,"Colorado Springs , Colorado",
KREG-TV,23 PSIP/cable 3,CBS,"Glenwood Springs , Colorado",Satellite of KREX
KREM,20 PSIP/cable 2,CBS,"Spokane , Washington",
KREN-TV,26 PSIP 27,27.1 Univision 46.2 KRNS-CD,"Reno , Nevada",REN o
KREX-TV,2 PSIP 5,5.1 CBS 27.2 KGJT-CD,"Grand Junction , Colorado",
KREY-TV,13 PSIP/cable 10,CBS,"Montrose , Colorado",Satellite of KREX
KREZ-TV,15 PSIP 6,CBS,"Durango , Colorado","Semisatellite of KREX until 2/28/1995 , Rebroadcasts KRQE Albuquerque"
KRGV-TV,13 PSIP 5,5.1 ABC 5.3 MeTV,"Weslaco , Texas",R io G rande V alley
KRII,11 PSIP 11,11.1 NBC 11.2 KDLH-DT2 11.3 KDLH 11.9 KBJR-DT2,"Chisholm , Minnesota","Semi-satellite of KBJR Duluth , Minnesota"
KRIN,35 PSIP 32,PBS,"Waterloo , Iowa",
KRIS-TV,13 PSIP 6,6.1 NBC 13.2 The CW,"Corpus Christi , Texas","Digital subchannel 13.2 branded by its cable channel number , 23"
KRIV,26 PSIP 26,Fox,"Houston , Texas",
