Province,Largest city,2nd Largest,3rd Largest,4th largest
Tehran,Tehran,Eslamshahr,Shahriar,Shahr-e Qods
Razavi Khorasan,Mashhad,Nishapur,Sabzevar,Torbat-e Heydarieh
East Azerbaijan,Tabriz,Maragheh,Marand,Ahar
Alborz,Karaj,Fardis,Kamalshahr,Nazarabad
Isfahan,Isfahan,Kashan,Khomeyni Shahr,Najafabad
Fars,Shiraz,Marvdasht,Jahrom,Fasa
Khuzestan,Ahvaz,Dezful,Abadan,Mahshahr
Mazandaran,Sari,Babol,Amol,Qa'em Shahr
West Azerbaijan,Urmia,Khoy,Bukan,Mahabad
Kerman,Kerman,Sirjan,Rafsanjan,Jiroft
Gilan,Rasht,Bandar-e Anzali,Lahijan,Langrud
Sistan and Baluchistan,Zahedan,Zabol,Iran Shahr,Chabahar
Kermanshah,Kermanshah,Eslamabad-e Gharb,Javanrud,Kangavar
Lorestan,Khorramabad,Borujerd,Dorud,Aligudarz
Hamadan,Hamadan,Malayer,Nahavand,Asadabad
Golestan,Gorgan,Gonbad-e Kavus,Bandar Torkaman,Ali Abad
Kurdistan,Sanandaj,Saghez,Marivan,Baneh
Hormozgan,Bandar Abbas,Minab,Qeshm,Kish
Markazi,Arak,Saveh,Khomein,Mahallat
Ardabil,Ardabil,Parsabad,Meshkinshahr,Khalkhal
