Site,Municipality,Comments,Type,Ref
* Heijō Palace Tōin Gardens 平城宮東院庭園 Heijō-kyū tōin teien,Nara,the palace is inscribed on the UNESCO World Heritage List as one of the Historic Monuments of Ancient Nara,1,[ 1 ]
* Sakyō Sanjō Nibō Palace Site Gardens 平城京左京三条二坊宮跡庭園 Heijō-kyō sakyō sanjō nibō miya ato teien,Nara,also a Special Historic Site,1,[ 2 ]
* Dorohatchō 瀞八丁 Dorohatchō,Totsukawa,the designation includes an area of Shingū in Wakayama Prefecture and Kumano in Mie Prefecture ; also a Natural Monument,5,[ 3 ]
Isui-en 依水園 Isui-en,Nara,,1,[ 4 ]
Enjō-ji Gardens 円成寺庭園 Enjōji teien,Nara,,1,[ 5 ]
Mount Yoshino 吉野山 Yoshino-yama,Yoshino,also an Historic Site ; inscribed on the UNESCO World Heritage List as one of the Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,3,[ 6 ]
Former Daijō-in Gardens 旧大乗院庭園 kyū-Daijōin teien,Nara,,1,[ 7 ]
Tsukigase Plum Groves 月瀬梅林 Tsukigase bairin,Nara,in Tsukigase-Kōnoyama Prefectural Natural Park,3,[ 8 ]
Jikō-in Gardens 慈光院 庭園 Jikōin Gardens,Yamatokōriyama,also an Historic Site,1,[ 9 ]
Yamato Sanzan 大和三山 Yamato sanzan,Kashihara,,"3 , 10 , 11",[ 10 ]
Taima-dera Nakanobō Gardens 当麻寺中之坊庭園 Taimadera nakanobō teien,Katsuragi,also an Historic Site,1,[ 11 ]
Nara Park 奈良公園 Nara kōen,Nara,,1,[ 12 ]
Asuka Capital Site Pond 飛鳥京跡苑池 Asuka-kyō ato enchi,Asuka,also an Historic Site ; submitted for future inscription on the UNESCO World Heritage List as part of the serial nomination Asuka-Fujiwara : Archaeological sites of Japans Ancient Capitals and Related Properties,1,[ 13 ]
Hokke-ji Gardens 法華寺庭園 Hokkeji teien,Nara,,1,[ 14 ]
