Title,Original run,Network
Our Miss Brooks,1952-1956,CBS
You Are There,1953-1957,CBS
Make Room For Daddy / The Danny Thomas Show,1953-1964,"ABC , CBS"
The Whistler,1954-1955,CBS
The Lineup,1954-1960,CBS
Navy Log,1955-1958,"CBS , ABC"
The Millionaire,1955-1960,CBS
Gunsmoke,1955-1975,CBS
The Honeymooners,1955-56 & beyond,CBS
The Phil Silvers Show,1955-1959,CBS
Captain Kangaroo,1955-1984,CBS
The Gray Ghost,1957-1958,Syndication
Trackdown,1957-1959,CBS
Have Gun-Will Travel,1957-1963,CBS
Perry Mason,1957-1966,CBS
Leonard Bernstein 's Young People 's Concerts,1958-1972,CBS
Border Patrol,1959,Syndication
Hotel de Paree,1959-1960,CBS
Rawhide,1959-1965,CBS
The Twilight Zone,1959-1964,CBS
