Contestant,Age,Hometown,Place Finished
Daniel Franco,32,"Los Angeles , California",12th
Mario Cadenas,23,"Pembroke Pines , Florida",11th
Starr Ilzhoefer,27,"Charlotte , North Carolina",10th
Vanessa Riley,34,"London , England",9th
Nora Caliguri,21,"Cheshire , Connecticut",8th
Alexandra Vidal,21,"Miami , Florida",7th
Kevin Johnn,37,"New York , New York",6th
Robert Plotkin,28,"New York , New York",5th
Austin Scarlett,22,"New York , New York",4th
Wendy Pepper,39,"Middleburg , Virginia",3rd
Kara Saun,37,"Los Angeles , California",Runner-up
Jay McCarroll,29,"Dallas , Pennsylvania",Winner
