Country,Automobile Name,Manufacturer,Engine Make/Capacity,Seats,Year
Japan,Auto Sandal,"Japan Auto Sandal Motors , Tokyo ,",Mitsubishi 349 cc,2,1954
Japan,Cony 360 Coach,"Aichi Machine Industry Co Ltd , Nagoya",354 cc,,1952-1967
Japan,Cony Guppy,"Aichi Machine Industry Co Ltd , Nagoya",199 cc,2,1952-1967
Japan,Daihatsu Bee,"Daihatsu Kogyo Co Ltd , Ikeda , Osaka",Daihatsu 540 cc,,1951-
Japan,Daihatsu Fellow,"Daihatsu Kogyo Co Ltd , Ikeda , Osaka",Daihatsu 356 cc,,1967-1977
Japan,Daihatsu Fellow Max,"Daihatsu Kogyo Co Ltd , Ikeda , Osaka",Daihatsu 547 cc,,1977-1989
Japan,Daihatsu Mira,"Daihatsu Kogyo Co Ltd , Ikeda , Osaka",Daihatsu 660 cc,,1980-
Japan,Daihatsu Midget I,"Daihatsu Kogyo Co Ltd , Ikeda , Osaka",Daihatsu ZA 250 cc,1,1957-
Japan,Daihatsu Midget II,"Daihatsu Kogyo Co Ltd , Ikeda , Osaka",Daihatsu EF 660 cc,1,1996-
Japan,Flying Feather,"Suminoe Seisakusho , Kyoto",350 cc,2,1955
Japan,Fuji Cabin,"Fuji Motors Corp , Tokyo",Gasuden 125 cc 5.5 hp ( 4 kW ),2,1957-1958
Japan,Honda S360,Honda,356 cc,2,1962
Japan,Honda S500,Honda,531 cc,2,1963
Japan,Honda S600,Honda,606 cc,2,1964
Japan,Honda N360,Honda,354 cc,4,1967
Japan,Honda T360,Honda,356 cc 30Ps,2,1963
Japan,Mazda R360,Mazda,356 cc,2,1961
Japan,Mazda Carol,Mazda,water-cooled OHV 358 cc,4,1962
Japan,Mitsuoka BuBu,Mitsuoka Toyama,50 cc,1,1982
Japan,Mitsuoka K-1 ( MC-1 ),Mitsuoka Toyama,50 cc,1,1998
