Pick,Player,Recruited from,Club
1,Will Thursfield,Sandringham U18,Richmond
2,Ruory Kirkby,Bendigo U18,Hawthorn
3,Rowan Nayna,Dandenong U18,Western Bulldogs
4,Ben Davies,Western U18,Collingwood
5,Ryan Nye,Peel Thunder,Adelaide
6,Daniel Batson,North Ballarat U18,Carlton
7,Josh Gibson,Port Melbourne,North Melbourne
8,Joseph Krieger,Sandringham U18,Fremantle
9,Ben Sharp,Oakleigh U18,West Coast
10,Brendan Van Schaik,Murray U18,Melbourne
11,Ryan Bain,Oakleigh U18,Essendon
12,Guy Campbell,Bendigo Bombers,Sydney
13,Jarrod Garth,Tasmania U18,Geelong
14,Luke Mullins,Collingwood,St Kilda
15,Travis Baird,Bendigo U18,Brisbane Lions
16,Danyle Pearce,Sturt,Port Adelaide
17,Pass,,Richmond
18,Clinton Young,North Ballarat U18,Hawthorn
19,Dale Morris,Werribee,Western Bulldogs
20,Heritier Lumumba,Claremont,Collingwood
