No,Position,Player,Nation
1,Goalkeeper,Alex Horwath,United States
2,Defender,Jamie McGuinness,England
3,Defender,Bitielo Jean Jacques,Haiti
4,Midfielder,Antonio Neto,Brazil
5,Defender,Troy Cole,United States
6,Defender,Kyle Hoffer,United States
7,Midfielder,Douglas Dos Santos,Brazil
8,Defender,Alex Freitas,Brazil
9,Forward,Andriy Budnyi,Ukraine
10,Forward,Karamba Janneh,Gambia
11,Midfielder,Tony Donatelli,United States
12,Midfielder,Christian Silva,United States
13,Midfielder,Sébastien Thurière,Haiti
14,Defender,Richard Dixon,Jamaica
15,Midfielder,Darren Toby,Trinidad and Tobago
16,Midfielder,Dominic Cutrofello,United States
17,Midfielder,J. T. Noone,United States
18,Defender,Sean Reynolds,United States
19,Goalkeeper,Jeremy Crumpton,United States
20,Midfielder,Shawn Chin,United States
