Year,Finalist,School,Finalist,School
2004,Chanda Gunn,Northeastern,Jenny Potter,Minnesota Duluth
2005,Natalie Darwitz,Minnesota,Caroline Ouellette,Minnesota Duluth
2006,Sabrina Harbec,St. Lawrence,Riitta Schaublin,Minnesota Duluth
2007,Meghan Agosta,Mercyhurst,Sara Bauer,Wisconsin
2008,Meghan Agosta,Mercyhurst,Kim Martin,Minnesota Duluth
2009,Meghan Agosta,Mercyhurst,Sarah Vaillancourt,Harvard
2010,Kelly Paton,New Hampshire,Noora Räty,Minnesota
2011,Meghan Agosta,Mercyhurst,Kelli Stack,Boston College
2012,Jocelyne Lamoureux,North Dakota,Florence Schelling,Northeastern
2013,Megan Bozek,Minnesota,Noora Räty,Minnesota
2014,Hannah Brandt,Minnesota,Jillian Saulnier,Cornell
2015,Hannah Brandt,Minnesota,Marie-Philip Poulin,Boston University
2016,Alex Carpenter,Boston College,Ann-Renee Desbiens,Wisconsin
2017,Cayley Mercer,Clarkson,Lara Stalder,Minnesota Duluth
2018,Victoria Bach,Boston University,Loren Gabel,Clarkson
2019,Megan Keller,Boston College,Annie Pankowski,Wisconsin
