Year,Winners,Runners-up,3rd Place,4th Place
1997,KS,Tindastóll,Afturelding,Ernir Í
1998,Sindri,Léttir,Hvöt,Leiknir F
1999,Afturelding,KÍB,Njarðvík,Huginn / Höttur
2000,Haukar,Nökkvi,Þróttur N,Fjölnir
2001,HK,Völsungur,Njarðvík,KFS
2002,KFS,Fjölnir,Fjarðabyggð,Leiknir F
2003,Vikingur Ó,Leiknir R,Númi,Höttur
2004,Huginn,Fjarðabyggð,Skallagrímur,Reynir S
2005,Reynir S,Sindri,Grótta,Leiknir F
2006,Höttur,Magni,ÍH,Kári
2007,Grótta,Hamar,Hvöt,Víðir
2008,Hamrarnir/Vinir,BÍ/Bolungarvík,KV,Skallagrímur
2009,Völsungur,KV,Hvíti riddarinn,Ýmir
2010,Tindastóll,Dalvík/Reynir,Árborg,KB
2011,KV,KFR,KB,Magni
2012,Sindri,Ægir,Leiknir F,Magni
2013,Fjarðabyggð,Huginn,KFR,Víðir
2014,Höttur,Leiknir F,Berserkir,Víðir
2015,Magni,Völsungur,Reynir S,Einherji
2016,Tindastóll,Víðir,Einherji,Kári
