Medal,Name,Sport,Event
Gold,Pirmin Zurbriggen,Alpine skiing,Men 's downhill
Gold,Vreni Schneider,Alpine skiing,Women 's giant slalom
Gold,Vreni Schneider,Alpine skiing,Women 's slalom
Gold,Ekkehard Fasser Kurt Meier Marcel Fässler Werner Stocker,Bobsleigh,Four-man
Gold,Hippolyt Kempf,Nordic combined,Men 's individual
Silver,Peter Müller,Alpine skiing,Men 's downhill
Silver,Brigitte Oertli,Alpine skiing,Women 's downhill
Silver,Michela Figini,Alpine skiing,Women 's super-G
Silver,Brigitte Oertli,Alpine skiing,Women 's combined
Silver,Andreas Schaad Hippolyt Kempf Fredy Glanzmann,Nordic combined,Men 's team
Bronze,Pirmin Zurbriggen,Alpine skiing,Men 's giant slalom
Bronze,Paul Accola,Alpine skiing,Men 's combined
Bronze,Maria Walliser,Alpine skiing,Women 's giant slalom
Bronze,Maria Walliser,Alpine skiing,Women 's combined
Bronze,Andreas Grünenfelder,Cross-country skiing,Men 's 50 km freestyle
