Skip,Third,Second,Lead,Locale,Qualification Method
Laura Roessler,Jamie Haskell,Jackie Lemke,Steph Sambor,"St. Paul , Minnesota",High Performance Program team
Allison Pottinger,Nicole Joraanstad,Natalie Nicholson,Tabitha Peterson,"St. Paul , Minnesota",High Performance Program team
Erika Brown,Debbie McCormick,Jessica Schultz,Ann Swisshelm,"Madison , Wisconsin",Order of Merit
Patti Lank,Mackenzie Lank,Nina Spatola,Caitlin Maroldo,"Lewiston , New York",Order of Merit
Alexandra Carlson,Monica Walker,Kendall Moulton-Behm,Jordan Moulton,"Minneapolis , Minnesota",Challenge Round
Courtney George,Aileen Sormunen,Amanda McLean,Julie Lilla,"Duluth , Minnesota",Challenge Round
Becca Hamilton,Molly Bonner,Tara Peterson,Sophie Brorson,"Madison , Wisconsin",Challenge Round
Shelly Kinney,Amy Lou Anderson,Theresa Hoffoss,Julie Smith,Minnesota,Challenge Round
Cristin Clark,Patti Killins,Christina Pastula,Christie Wilhelmy,"Seattle , Washington",Challenge Round
Sarah Anderson,Courtney Slata,Kathleen Dubberstein,Taylor Anderson,"Philadelphia , Pennsylvania",Challenge Round
