Name,Population,Area ( km² ),District
Kladno,"69,054",37,Kladno District
Mladá Boleslav,"44,489",29,Mladá Boleslav District
Příbram,"32,642",33,Příbram District
Kolín,"31,690",35,Kolín District
Kutná Hora,"20,580",33,Kutná Hora District
Beroun,"19,510",31,Beroun District
Mělník,"19,486",25,Mělník District
Brandýs nad Labem-Stará Boleslav,"19,136",23,Prague-East District
Kralupy nad Vltavou,"18,194",22,Mělník District
Benešov,"16,656",47,Benešov District
Neratovice,"16,163",20,Mělník District
Rakovník,"15,846",19,Rakovník District
Slaný,"15,834",35,Kladno District
Říčany,"15,619",26,Prague-East District
Nymburk,"15,063",21,Nymburk District
Poděbrady,"14,186",34,Nymburk District
Čelákovice,"12,260",16,Prague-East District
Milovice,"11,834",31,Nymburk District
Vlašim,"11,598",41,Benešov District
Čáslav,"10,326",26,Kutná Hora District
