Mountain Range,Highest point,Elevation,Location,Ranger District
Pioneer Mountains,Hyndman Peak,"12,009 ft ( 3,660 m )",43°44′58″N 114°07′52″W / 43.7494°N 114.1311°W / 43.7494 ; -114.1311 ( Hyndman Peak ),Ketchum
White Cloud Mountains,Castle Peak,"11,815 ft ( 3,601 m )",44°02′23″N 114°35′07″W / 44.0396°N 114.5853°W / 44.0396 ; -114.5853 ( Castle Peak ),SNRA
Boulder Mountains,Ryan Peak,"11,714 ft ( 3,570 m )",43°54′08″N 114°24′34″W / 43.9022°N 114.4094°W / 43.9022 ; -114.4094 ( Ryan Peak ),SNRA
Sawtooth Mountains,Thompson Peak,"10,751 ft ( 3,277 m )",44°08′29″N 115°00′36″W / 44.1415°N 115.0100°W / 44.1415 ; -115.0100 ( Thompson Peak ),SNRA
Smoky Mountains,Saviers Peak,"10,441 ft ( 3,182 m )",43°49′19″N 114°42′47″W / 43.8219°N 114.7130°W / 43.8219 ; -114.7130 ( Saviers Peak ),Fairfield/Ketchum/SNRA
Albion Mountains,Cache Peak,"10,339 ft ( 3,151 m )",42°11′08″N 113°39′40″W / 42.1856°N 113.6611°W / 42.1856 ; -113.6611 ( Cache Peak ),Minidoka
Boise Mountains,Two Point Mountain,"10,124 ft ( 3,086 m )",43°44′14″N 114°58′36″W / 43.7371°N 114.9767°W / 43.7371 ; -114.9767 ( Two Point Mountain ),Fairfield
Soldier Mountains,Smoky Dome,"10,095 ft ( 3,077 m )",43°29′36″N 114°56′10″W / 43.4932°N 114.9362°W / 43.4932 ; -114.9362 ( Smoky Dome ),Fairfield
Raft River Mountains,Bull Mountain,"9,925 ft ( 3,025 m )",41°54′17″N 113°23′20″W / 41.9048°N 113.3888°W / 41.9048 ; -113.3888 ( Bull Mountain ),Minidoka
Black Pine Mountains,Black Pine Mtns HP,"9,389 ft ( 2,862 m )",42°08′19″N 113°07′32″W / 42.1386°N 113.1256°W / 42.1386 ; -113.1256 ( Black Pine Mountains High Point ),Minidoka
Sublett Mountains,Sublett Range HP,"7,492 ft ( 2,284 m )",42°22′12″N 112°55′50″W / 42.3699°N 112.9305°W / 42.3699 ; -112.9305 ( Sublett Range High Point ),Minidoka
