Train Name,Railroad,Train Endpoints in a typical [ year ],Operated
Umpachanee,New Haven,"New York , New York - Pittsfield , Massachusetts [ 1955 ]",1955-1960
Union,Pennsylvania,"Chicago , Illinois - Cincinnati , Ohio & Louisville , Kentucky branch via Indianapolis , Indiana [ 1950 ]",1933-1960
United States Fast Mail,"Pennsylvania , Southern Railway","New York , New York - New Orleans , Louisiana [ 1918 ]",1893-1919 ; 1923-1932
Upstate Special,New York Central,"New York , New York - Utica , New York [ 1952 ]",1925-1931 ; 1935-1957
Utah and California Express,Denver and Rio Grande Western Railroad,"Denver , Colorado - Ogden , Utah [ 1906 ]",1900 ; 1906-1910
Utah Express,Union Pacific,"Salt Lake City , Utah - Boise , Idaho [ 1930 ]",1911-1913 ; 1919-1931 ; 1936-1946
Utah Parks Special,Union Pacific,"Salt Lake City , Utah - Cedar City , Utah [ 1930 ]",1927-1932 ; 1954-1960
Utahn,Union Pacific,"Los Angeles , California - Cheyenne , Wyoming [ 1947 ]",1947-1951
Ute,Colorado Midland Railway,"Denver , Colorado - Grand Junction , Colorado ( with through cars to California ) [ 1903 ]",1900-1908
Vacationer,"Pennsylvania , Richmond , Fredericksburg and Potomac Railroad , Atlantic Coast Line Railroad , Florida East Coast Railway","New York , New York - Miami , Florida [ 1940 ]",1938-1942 ; 1946-1955
Valley,Chicago and North Western Railway,"Chicago , Illinois - Green Bay , Wisconsin [ 1936 ]",1936-1941
Valley 400,Chicago and North Western Railway,"Chicago , Illinois - Green Bay , Wisconsin [ 1945 ]",1942-1968
Valley Eagle,Missouri Pacific,"Brownsville , Texas - Corpus Christi , Texas - Houston , Texas [ 1948 ]",1948-1962
Valley Express,New York Central,"Chicago , Illinois - Detroit , Michigan [ 1947 ]",1943-1948
Valley Express,Southern Pacific,"San Francisco , California - Los Angeles , California [ 1910 ]",1907-1917
Valley Express,"New Haven , Boston and Maine , Central Vermont Railway","New York , New York - White River Junction , Vermont [ 1948 ]",1948-1957
Valley Flyer,Santa Fe,"Oakland , California - Bakersfield , California",1939-1942
Valley Flyer,Southern Pacific,"Oakland , California - Fresno , California [ 1921 ]",1921-1927
Valley Forge,Amtrak,"New York , New York - Harrisburg , Pennsylvania [ 1989 ]",1971-1990
Valley Special,Pennsylvania,"Chicago , Illinois - Pittsburgh , Pennsylvania [ 1948 ]",1936-1940 ; 1947-1949
