Region,Main economic activity,% of regional GDP
Arica and Parinacota,Personal services,19.90
Tarapacá,Mining,44.84
Antofagasta,Mining,56.30
Atacama,Mining,44.33
Coquimbo,Mining,35.00
Valparaíso,Manufacturing industry,18.31
Santiago,Business and financial services,35.32
O'Higgins,Mining,23.68
Maule,Manufacturing industry,15.90
Biobío,Manufacturing industry,23.83
Araucanía,Personal services,22.14
Los Ríos,Manufacturing industry,24.03
Los Lagos,Manufacturing industry,20.27
Aisén,Public administration,19.66
Magallanes,Public administration,16.71
Chile,Business and financial services,18.41
