Position,Player,From club,Fee
GK,Syed Adney,Terengganu FA,align=right| 0
GK,Mohd Iqbal Suhaimi,T-Team F.C,align=right| 0
GK,Muhd Faiz Abdul Khalid,Selangor FA,align=right| 0
DR,Mohd Riduwan Ma'on,FELDA United F.C,align=right| 0
DC,Spase Dilevski,Melbourne Victory,align=right| 0
DC,Badrul Hisham Mohd Sufian,TLDM F.C,align=right| 0
DC,Faiz Mohd Bandong,UKM F.C,align=right| 0
DL,Mohd Helmi Mohd Rafi,Kuala Lumpur FA,align=right| 0
DC,Arvind a/l Juresinggam,Selangor FA,align=right| 0
ML,Mohd Akmal Mohd Noor,FELDA United F.C,align=right| 0
MC,Ahmad Fauzi Saari,FELDA United F.C,align=right| 0
DRC,Khishan Raj a/l Mohana Raj,Selangor FA,align=right| 0
AMC,Amirul Hakeem Abdul Rahman,Negeri Sembilan FA,align=right| 0
AMR,Mohd Azrul Ahmad,FELDA United F.C,align=right| 0
ST,Rudie Ramli,FELDA United F.C,align=right| 0
ST,Juan Arostegui,Sportivo Belgrano,align=right| 0
ST,Muhammad Haikal Zol,Shahzan Muda F.C,align=right| 0
ST,Ibrahim Suhaib Mohamad,UiTM F.C,align=right| 0
AML,Pavithran a/l Pandian,Kuala Lumpur FA,align=right| 0
