Team,Wild Card ( 1st round in 1982 ) appearances,Divisional Round ( 2nd round in 1982 ) appearances,Conference Championship Game appearances,Super Bowl appearances,Fewest wins short of Super Bowl title
Minnesota Vikings,14,23,9,4,"1 win short : 1969 , 1973 , 1974 , 1976"
Buffalo Bills,8,10,5,4,"1 win short : 1990 , 1991 , 1992 , 1993"
Cincinnati Bengals,9,6,2,2,"1 win short : 1981 , 1988"
Atlanta Falcons,8,10,4,2,"1 win short : 1998 , 2016"
Carolina Panthers,4,7,4,2,"1 win short : 2003 , 2015"
Los Angeles Chargers,8,12,4,1,1 win short : 1994
Tennessee Titans,14,14,5,1,1 win short : 1999
Arizona Cardinals,5,6,2,1,1 win short : 2008
Cleveland Browns,4,8,6,,"2 wins short : 1968 , 1969 , 1986 , 1987 , 1989"
Jacksonville Jaguars,6,5,3,,"2 wins short : 1996 , 1999 , 2017"
Detroit Lions,9,3,1,,2 wins short : 1991
Houston Texans,6,4,,,"3 wins short : 2011 , 2012 , 2016 , 2019"
