Date,Co-Hosts,Guests/Segments
June 1,Regis Philbin & Kelly Ripa,"Kevin Bacon , American Idol runner-up Lauren Alaina"
June 2,Regis Philbin & Kelly Ripa,"Barbara Sinatra , American Idol winner Scotty McCreery"
June 3,Regis Philbin & Kelly Ripa,"Ellen Barkin , Buddy Valastro"
June 4,Regis Philbin & Kelly Ripa,"Ewan McGregor , Mike Rowe , Francis Anthony"
June 6,Kelly Ripa & Mark Consuelos,"Kyle Chandler , Matt Bomer"
June 7,Regis Philbin & Kelly Ripa,"Marc Anthony , Kourtney & Khloé Kardashian , Carl Edwards"
June 8,Regis Philbin & Kelly Ripa,"Jim Parsons , Faith Ford , World Ocean Day"
June 9,Regis Philbin & Kelly Ripa,"Carla Gugino , Natasha Bedingfield"
June 10,Regis Philbin & Kelly Ripa,"Jason Lee , Jennifer Lawrence , Kenny Callaghan"
June 13,Regis & Joy Philbin,"Angela Bassett , Emma Roberts"
June 14,Regis Philbin & Betty White,"Blake Lively , Jeff Gordon , Jordin Sparks"
June 15,Regis Philbin & Kristin Chenoweth,"Ryan Reynolds , Larry the Cable Guy"
June 16,Regis Philbin & Michelle Beadle,"Jim Carrey , Michael Bolton"
June 17,Regis Philbin & Kara DioGuardi,"Ryan & Tatum O'Neal , Carson Kressley"
June 27,Regis Philbin & Kelly Ripa,"Patrick Dempsey , Mark Feuerstein , David Gray , Regis and Kelly win Daytime Emmy Awards"
June 28,Regis Philbin & Kelly Ripa,"Selena Gomez , Rosie Huntington-Whiteley"
June 29,Regis Philbin & Kelly Ripa,"Tom Hanks , Ken Jeong , David Cook"
June 30,Regis Philbin & Kelly Ripa,"Shia LaBeouf , Jill Scott"
