Name,Municipality,State,Length,Elevation
Allander Tropfsteinhöhle,Alland ( BN ),Lower Austria,0.07 km ( SC : 0.07 km ),410 amsl
Dachstein-Mammuthöhle,Obertraun ( GM ),Upper Austria,66 km ( SC : 1 km ),"1,368 amsl"
Dachstein-Rieseneishöhle,Obertraun ( GM ),Upper Austria,2 km ( SC : 1 km ),"1,455 amsl"
DÖF-Sonnleiter,Tauplitz ( LI ),Styria,21.4 km ( SC : no ),"1,996 amsl"
Einhornhöhle,Markt Piesting ( WB ),Lower Austria,0.6 ( SC : 0.6 km ),585 amsl
Eisensteinhöhle,Bad Fischau-Brunn ( WB ),Lower Austria,2 km ( SC : 1 km ),380 amsl
Eiskogelhöhle,Werfenweng ( JO ),Salzburg,2 km ( SC : 0.5 km ),"2,100 amsl"
Eisriesenwelt,Werfen ( JO ),Salzburg,42 km ( SC : 1 km ),"1,656 amsl"
Entrische Kirche,Goldegg ( JO ),Salzburg,2.5 km ( SC : 1 km ),"1,040 amsl"
Gasselhöhle,Ebensee ( GM ),Upper Austria,3.7 km ( SC : 0.6 km ),"1,229 amsl"
Grasslhöhle,Naas ( WZ ),Styria,1.5 km ( SC : 0.6 km ),720 amsl
Griffener Tropfsteinhöhle,Griffen ( VK ),Carinthia,0.5 km ( SC : 0.5 km ),485 amsl
Hermannshöhle,Kirchberg am Wechsel ( NK ),Lower Austria,4.2 km ( SC : 0.6 km ),660 amsl
Hochkarschacht,Göstling an der Ybbs ( SB ),Lower Austria,0.7 km ( SC : 0.7 km ),"1,620 amsl"
Hundalm-Eishöhle,Mariastein ( KU ),Tyrol,2 km ( SC : 1 km ),"1,520 amsl"
Katerloch,Naas ( WZ ),Styria,1 km ( SC : 1 km ),900 amsl
Kolkbläser-Monsterhöhle-System,Saalfelden ( ZE ),Salzburg,44.5 km ( SC : no ),"1,400 amsl"
Kraushöhle,Gams bei Hieflau ( LI ),Styria,0.3 km ( SC : 0.3 km ),600 amsl
Koppenbrüllerhöhle,Obertraun ( GM ),Upper Austria,3.9 km ( SC : 0.5 km ),580 amsl
Lamprechtsofen,Weißbach ( ZE ),Salzburg,51 km ( SC : 0.7 km ),660 amsl
