District,Representative,Party,Residence,First Elected,Term Limited
1,Linda Bolon,Democratic,East Palestine,2006,2014
2,Jon Peterson,Republican,Delaware,1999 ( App ),2008
3,Jim Carmichael,Republican,Wooster,2000,2008
4,Matt Huffman,Republican,Lima,2006,2014
5,Gerald Stebelton,Republican,Lancaster,2006,2014
6,Randy Gardner,Republican,Bowling Green,2008 ( app ),2014
7,Kenny Yuko,Democratic,Richmond Heights,2004,2012
8,Armond Budish,Democratic,Beachwood,2006,2014
9,Barbara Boyd,Democratic,Cleveland Heights,2006,2014
10,Eugene Miller,Democratic,Cleveland,2006,2014
11,Sandra Williams,Democratic,Cleveland,2006,2014
12,Michael DeBose,Democratic,Cleveland,2002 ( App ),2010
13,Michael J. Skindell,Democratic,Lakewood,2002,2010
14,Michael Foley,Democratic,Cleveland,2006 ( App ),2014
15,Timothy J. DeGeeter,Democratic,Parma,2003 ( App ),2012
16,Jennifer Brady,Democratic,Westlake,2006,2014
17,Josh Mandel,Republican,Lyndhurst,2006,2014
18,Thomas Patton,Republican,Strongsville,2002,2010
19,Larry L. Flowers,Republican,Canal Winchester,2000,2008
20,Jim McGregor,Republican,Gahanna,2001 ( App ),2010
