Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Tim Gordon,CB,Tulsa,Ind . ( I-A )
Atlanta Falcons,Erik Kramer,QB,North Carolina State,ACC
Atlanta Falcons,John Settle,RB,Appalachian State,SoCon
Atlanta Falcons,Jessie Tuggle,LB,Valdosta State,Gulf South
Buffalo Bills,Mitch Frerotte,G,Penn State,Ind
Chicago Bears,Lorenzo Lynch,CB,Sacramento State,Western
Chicago Bears,Sean Payton,QB,Eastern Illinois,Gateway
Chicago Bears,John Wojciechowski,OT,Michigan State,Big Ten
Cincinnati Bengals,Adrian Breen,QB,Morehead State,OVC
Cincinnati Bengals,John Carney,K,Notre Dame,Ind . ( I-A )
Cincinnati Bengals,Scott Fulhage,P,Kansas State,Big Eight
Cincinnati Bengals,Massimo Manca,K,Penn State,Ind
Denver Broncos,Sam Graddy,WR,Tennessee,SEC
Denver Broncos,Keith Kartz,C,California,Pac-10
Denver Broncos,Tim Lucas,LB,California,Pac-10
Green Bay Packers,Kevin Fitzgerald,TE,Wisconsin-Eau Claire,WIAC
Houston Oilers,Eugene Seale,LB,Lamar,Southland
Indianapolis Colts,Jeff Criswell,OT,Graceland,HAAC
Kansas City Chiefs,Jeff Faulkner,DE,Southern,SWAC
Kansas City Chiefs,Matt Stevens,QB,UCLA,Pac-10
