Name,Location,UNESCO data,Area :,Monuments
Buddhist Monuments in the Hōryū-ji Area,Nara Prefecture,"660 ( 1993 ) i , ii , iv , vi",586 ha ; ( 570.7 ha ),"Hōryū-ji , Hokki-ji"
Himeji-jō,Hyōgo Prefecture,"661 ( 1993 ) i , iv",107 ha ; ( 143 ha ),Himeji Castle
Yakushima,Kagoshima Prefecture,"662 ( 1993 ) vii , ix","10,747 ha",Natural Site : warm temperate ancient forest
Shirakami-Sanchi,Aomori / Akita Prefecture,663 ( 1993 ) ix,"16,939 ha","Natural Site : Siebold 's beech forest , mountains"
Historic Monuments of Ancient Kyoto,Kyoto / Shiga Prefecture,"688 ( 1994 ) ii , iv","1056 ha ; ( 3,579 ha )","Kamigamo Jinja , Shimogamo Jinja , Tō-ji , Kiyomizu-dera , Enryaku-ji , Daigo-ji , Ninna-ji , Byōdō-in , Ujigami Jinja , Kōzan-ji , Saihō-ji , Tenryū-ji , Kinkaku-ji , Ginkaku-ji , Ryōan-ji , Nishi Hongan-ji , Nijō-jō"
Historic Villages of Shirakawa-gō and Gokayama,Gifu / Toyama Prefecture,"734 ( 1995 ) iv , v","68 ha ; ( 58,873 ha )","Shirakawa-go , Gokayama"
Hiroshima Peace Memorial ( Genbaku Dome ),Hiroshima Prefecture,775 ( 1996 ) vi,0.4 ha ; ( 43 ha ),Atomic bomb Dome
Itsukushima Shrine,Hiroshima Prefecture,"776 ( 1996 ) i , ii , iv , vi","431 ha ; ( 2,634 ha )",Itsukushima Jinja
Historic Monuments of Ancient Nara,Nara Prefecture,"870 ( 1998 ) ii , iii , iv , vi","617 ha ; ( 2,502 ha )","Tōdai-ji , Kōfuku-ji , Kasuga Taisha , Gangō-ji , Yakushi-ji , Tōshōdai-ji , Heijō Palace , Kasugayama Primeval Forest"
Shrines and Temples of Nikkō,Tochigi Prefecture,"913 ( 1999 ) i , iv , vi",51 ha ; ( 373 ha ),"Futarasan Jinja , Rinnō-ji , Nikkō Tōshō-gū"
Gusuku Sites and Related Properties of the Kingdom of Ryukyu,Okinawa Prefecture,"972 ( 2000 ) ii , iii , vi",55 ha ; ( 560 ha ),"Tamaudun , Sonohyan-utaki Ishimon , Nakijin Castle , Zakimi Castle , Katsuren Castle , Nakagusuku Castle , Shuri Castle , Shikinaen , Seifa-utaki"
Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,Wakayama / Nara / Mie Prefecture,"1142 ( 2004 ) ii , iii , iv , vi","495 ha ; ( 1,137 ha )","Seiganto-ji , Kumano Hayatama Taisha , Kongōbu-ji , Niukanshōfu Jinja , Kumano Hongū Taisha , Niutsuhime Jinja , Mount Yoshino , Ōminesan-ji , Kōyasan chōishi-michi , Jison-in , Yoshino Mikumari Jinja , Kinbu Jinja , Kimpusen-ji , Yoshimizu Jinja , Kumano Nachi Taisha , Nachi Falls , Nachi primaeval forest , Fudarakusan-ji , Kumano Kodō"
Shiretoko,Hokkaidō,"1193 ( 2005 ) ix , x","71,100 ha",Natural Site : peninsula and marine area
Iwami Ginzan Silver Mine and its Cultural Landscape,Shimane Prefecture,"1246 ( 2010 ) ii , iii , v","529 ha ; ( 3,134 ha )","Yunotsu , Iwami Ginzan Kaidō Yunotsu-Okidomaridō , Site of Daikansho , Okidomari , Ginzan Sakunouchi , Site of Yataki-jō , Ōmori Ginzan , Miya-no-mae , Iwami Ginzan Kaidō Tomogauradō , Site of Yahazu-jō , Site of Iwami-jō , Kumagaika residence , Rakan-ji Gohyakurakan , Tomogaura"
"Hiraizumi - Temples , Gardens and Archaeological Sites Representing the Buddhist Pure Land",Iwate Prefecture,"1277 ( 2011 ) ii , vi","187 ha ; ( 5,998 ha )","Chūson-ji , Mōtsū-ji , Kanjizaiō-in , Muryōkō-in , Kinkeizan"
Ogasawara Islands,Tokyo,1362 ( 2011 ) ix,"7,939 ha","Natural Site : Chichi-jima , Haha-jima , Muko-jima , Iwo-jima"
"Fujisan , sacred place and source of artistic inspiration",Shizuoka / Yamanashi Prefecture,"1418 ( 2013 ) ⅲ , ⅵ","20,638 ha ; ( 49,376 ha )","Mount Fuji , Fuji Five Lakes , Fujisan Hongū Sengen Shrine , Kitaguchi Hongū Fuji Sengen Shrine , Yamamiya Sengen Shrine , Murayama Sengen Shrine , Suyama Sengen Shrine , Higashiguchi Hongū Fuji Sengen Shrine , Kawaguchi Sengen Shrine , Fuji Omuro Sengen Shrine , Oshino Hakkai , Miho no Matsubara"
Tomioka Silk Mill and Related Sites,Gunma Prefecture,"1149 ( 2014 ) ii , iv",7.20 ha ; ( 415 ha ),Tomioka Silk Mill
"Sites of Japans Meiji Industrial Revolution : Iron and Steel , Shipbuilding and Coal Mining","Kyūshū , and Yamaguchi , Shizuoka and Iwate prefectures","1484 ( 2015 ) ii , iii , iv","307 ha ; ( 2,408 ha )","Hashima Coal Mine , Former Glover House , Shūseikan , Miike Coal Mine , Yawata Steel Works , Mutsurejima Lighthouse , Hagi reverberatory furnace , Shōkasonjuku Academy , Hagi castle town"
"The Architectural Work of Le Corbusier , an Outstanding Contribution to the Modern Movement",Tokyo,"1321 ( 2016 ) i , ii , vi",0.93 ha ; ( 116.17 ha ),National Museum of Western Art
