Team,City,Stadium,Capacity
Alianza Atlético,Sullana,Miguel Grau ( Piura ),"25,000"
Alianza Lima,Lima,Alejandro Villanueva,"35,000"
Cienciano,Cusco,Garcilaso,"40,000"
Cobresol,Moquegua,25 de Noviembre,"25,000"
CNI,Iquitos,Max Augustín,"24,000"
Inti Gas,Ayacucho,Ciudad de Cumaná,"15,000"
Juan Aurich,Chiclayo,Elías Aguirre,"24,500"
León de Huánuco,Huánuco,Heraclio Tapia,"15,000"
Melgar,Arequipa,Virgen de Chapi,"40,217"
Sport Boys,Callao,Miguel Grau,"17,000"
Sport Huancayo,Huancayo,Huancayo,"20,000"
Sporting Cristal,Lima,San Martín de Porres,"18,000"
Unión Comercio,Nueva Cajamarca,IPD de Moyobamba,"12,000"
Universidad César Vallejo,Trujillo,Mansiche,"25,000"
Universidad San Martín,Lima,San Martín de Porres,"18,000"
Universitario,Lima,Monumental,"80,093"
