District,Representative,Party,Municipality ( ies ) represented,First elected
01,Lee Oxenham,Dem,"Cornish , Grantham , Plainfield , Springfield",2014
01,Brian Sullivan,Dem,"Cornish , Grantham , Plainfield , Springfield",2017↑
02,Gates Lucas,Rep,"Croydon , Sunapee",2018
03,Andrew O'Hearne,Dem,Claremont ( Ward 1 ),2018
04,Gary Merchant,Dem,Claremont ( Ward 2 ),2018
05,Walter Stapleton,Rep,Claremont ( Ward 3 ),2018
06,John Callum,Rep,"Newport , Unity",2018
06,Skip Rollins,Rep,"Newport , Unity",2012
07,Judy Aron,Rep,"Acworth , Goshen , Langdon , Lempster , Washington",2018
08,Tom Laware,Rep,Charlestown,2014 ( 2010-2012 )
09,Linda Tanner,Dem,"Cornish , Croydon , Grantham , Newport , Plainfield , Springfield , Sunapee , Unity",2016 ( 2012-2014 )
10,John Cloutier,Dem,Claremont ( Wards 1-3 ),1992
11,Steven D. Smith,Rep,"Acworth , Charlestown , Goshen , Langdon , Lempster , Washington",2010
