Name,Location,Notes/References
"8- Old Halls , the University of Hong Kong",Mid-levels,"[ 84 ] Old Halls is a collective name given in 1966 to Lugard , Eliot and May Halls . Only Eliot and May Halls remain"
"9- Main Building , the University of Hong Kong",Mid-levels,[ 85 ] [ 86 ] The exterior of the building is a Declared Monument
"10- Hung Hing Ying Building , the University of Hong Kong",Mid-levels,[ 87 ] [ 88 ] The exterior of the building is a Declared Monument
11- Elliot Pumping Station and Filters Workmen 's Quarters,"Pok Fu Lam Road , Kennedy Town",[ 89 ] Grade II Historic Building
"12- Former Fung Ping Shan Museum ( University Museum and Art Gallery , the University of Hong Kong )",94 Bonham Road,[ 90 ] The Fung Ping Shan Building is a Grade II Historic Building
"13- Tang Chi Ngong Building , the University of Hong Kong",Mid-levels,[ 91 ] [ 92 ] The exterior of the building is a Declared Monument
14- King 's College,"63A Bonham Road , Sai Ying Pun",[ 93 ] Grade II Historic Building
15- Kau Yan Church,"97A High Street , Sai Ying Pun",[ 94 ] Grade III Historic Building
16- Old Tsan Yuk Maternity Hospital,"36A Western Street , Sai Ying Pun",[ 95 ] Grade III Historic Building . Named Western District Community Centre since 1973
17- Main Building of St. Stephen 's Girls ' College,"2 Lyttelton Road , Mid-Levels",[ 96 ] [ 97 ] Declared Monument
18- Old Site of Diocesan Boys ' School,9A Bonham Road,[ 98 ] Now the Bonham Road Government Primary School
19- Old Lunatic Asylum ( Chinese Block ),"45 Eastern Street , Sai Ying Pun",[ 99 ] Grade II Historic Building . Now the Eastern Street Methadone Clinic
20- Old Mental Hospital,"2 High Street , Sai Ying Pun",[ 100 ] The façade is a Grade I Historic Building . Now part of the Sai Ying Pun Community Complex
21- Upper Levels Police Station,"1F High Street , Sai Ying Pun",[ 101 ] Grade III Historic Building . Now used as the Crime Hong Kong Island Regional Headquarters
22- St. Louis School,"179 Third Street , Sai Ying Pun",[ 102 ] Grade III Historic Building
23- Ex-Western Fire Station,"12 Belcher 's Street , Kennedy Town",[ 103 ] Grade III Historic Building . Converted into the Po Leung Kuk Chan Au Big Yan Home for the Elderly
"24- Fok Hing Tong , Hong Kong Society for the Promotion of Virtue",8-9 Tai Pak Terrace,[ 104 ]
25- Lo Pan Temple,"15 Ching Lin Terrace , Kennedy Town",[ 105 ] Grade I Historic Building
