Location,Restaurant,Chef ( s ),Awarded since
Alba,Piazza Duomo,Enrico Crippa,2013
Brusaporto,Da Vittorio,Vittorio Cerea,2010
Canneto sull'Oglio,Dal Pescatore,Nadia Santini,1996
Castel di Sangro,Reale,Niko Romito,2014
Florence,Enoteca Pinchiorri,"Annie Féolde , Italo Bassi , and Riccardo Monco",1993
Milan,Enrico Bartolini al Mudec,Enrico Bartolini,2020
Modena,Osteria Francescana,Massimo Bottura,2012
Rome,La Pergola,Heinz Beck,2005
Rubano,Le Calandre,Massimiliano Alajmo,2002
San Cassiano,St. Hubertus,Norbert Niederkofler,2018
Senigallia,Uliassi,Mauro Uliassi,2019
