Pos,No,Driver,Team,Q1,Q2
1,11,Roberto Merhi,Prema Powerteam,1:30.750,1:48.138
2,12,Daniel Juncadella,Prema Powerteam,1:30.758,1:49.141
3,16,Felix Rosenqvist,Mücke Motorsport,1:31.055,1:49.291
4,1,Marco Wittmann,Signature,1:31.226,1:47.803
5,8,Kevin Magnussen,Carlin,1:31.295,1:48.648
6,15,Nigel Melker,Mücke Motorsport,1:31.411,1:49.909
7,2,Laurens Vanthoor,Signature,1:31.530,1:49.972
8,9,Rupert Svendsen-Cook,Carlin,1:31.599,1:51.636
9,3,Daniel Abt,Signature,1:31.914,1:48.723
10,17,Lucas Foresti,Mücke Motorsport,1:31.933,1:48.995
11,14,Pipo Derani,Prema Powerteam,1:32.096,1:51.583
12,7,Jazeman Jaafar,Carlin,1:32.123,1:52.220
13,4,Carlos Muñoz,Signature,1:32.315,1:49.493
14,18,Jimmy Eriksson,Motopark Academy,1:32.526,1:51.590
15,6,Carlos Huertas,Carlin,1:32.529,1:53.408
16,19,Kimiya Sato,Motopark Academy,1:32.694,1:51.742
