Hotel,Location,Managed by Cunard,Notes
London International Hotel,"London , England",1971-1977,Today London Marriott Hotel Kensington
"Hotel Bristol , later Cunard Hotel Bristol","London , England",1971 - 1984,Today Holiday Inn London Mayfair
Cunard Paradise Beach Hotel & Club,"Bridgetown , Barbados",1971 - 1992,Closed since 1992
Cobblers Cove Hotel,"Speightstown , Barbados",1971 - 1975,
Montego Beach Hotel,"Montego Bay , Jamaica",1972 - 1975,
Cunard Hotel La Toc & La Toc Suites,"Castries , St. Lucia",1972 - 1992,Today Sandals Regency La Toc
Cunard International Hotel,"London , England",1973 - 1984,Today Novotel London West Hotel
Cambridgeshire Hotel,"Cambridge , England",1974 - 1985,Today Hallmark Hotel Cambridge
"The Ritz Hotel , London","London , England",1976 - 1995,Now owned by the Ellerman Group
The Stafford,"London , England",1985 - 1995,
The Watergate Hotel,"Washington , D.C",1986 - 1990,
Dukes Hotel,"London , England",1988 - 1994,
Hotel Atop the Bellevue,"Philadelphia , Pennsylvania",1989 - 1993,Today The Bellevue Hotel
Cunard 's Plaza Club,"New York City , New York",1989 - 1989,concierge floors of the Plaza Hotel
