Place,Municipality,Type,Ref
Iwaya 岩屋 Iwaya,Kumakōgen,5,[ 1 ]
Furu-Iwaya 古岩屋 furu-Iwaya,Kumakōgen,5,[ 2 ]
Shishimagahara 志島ヶ原 Shishimagahara,Imabari,8,[ 3 ]
Senbiki-no-Sakura 千疋のサクラ Senbiki-no-sakura,Imabari,3,[ 4 ]
Ōmishima 大三島 Ōmishima,Imabari,"8 , 10",[ 5 ]
Tensha-en 天赦園 Tensha-en,Uwajima,1,[ 6 ]
Hashihama 波止浜 Hashihama,Imabari,8,[ 7 ]
Mount Yawata 八幡山 Yawata-yama,Imabari,11,[ 8 ]
Hōkoku-ji Gardens 保国寺 庭園 Hōkokuji teien,Seiyo,1,[ 9 ]
Omogo-kei 面河渓 Omogo-kei,Kumakōgen,"5 , 6",[ 10 ]
Hoshigamori ( Yokomine-ji Mount Ishizuchi Worship Site ) 星ヶ森 ( 横峰寺 石鎚山遥拝所 ) Hoshigamori ( Yokomineji Ishizuchisan yōhaijo ),Saijō,,[ 11 ]
Former Hirose Family Gardens 旧広瀬氏庭園 kyū-Hirose-shi teien,Niihama,,[ 12 ]
