Sidekick,Full name or Alter-ego,Hero,First appearance,Year
Aquagirl,Tula,Aquaman,Aquaman ( vol . 1 ) # 33 ( May-June 1967 ),1967
Aquagirl II,Lorena Marquez,Aquaman,Aquaman ( vol . 6 ) # 16 ( May 2004 ),2004
Aqualad,Garth,Aquaman,Adventure Comics # 269 ( February 1960 ),1960
Aqualad II,Jackson Hyde,Aquaman,Brightest Day # 4 ( June 2010 ),2010
Bat-Girl,Mary Elizabeth Bette Kane,Batwoman,Batman # 139 ( April 1961 ),1961
Batgirl II,Barbara Gordon,Batman,Detective Comics # 359 ( January 1967 ),1967
Batgirl III,Cassandra Cain,Batman,Legends of the Dark Knight # 120 ( August 1999 ),1999
Bluebird,Harper Row,Batman,Batman # 28 ( February 2014 ),2014
Snapper Carr,Lucas Carr,Justice League,The Brave and the Bold # 28 ( February-March 1960 ),1960
Dan the Dyna-Mite,Daniel Dunbar,TNT,Star-Spangled Comics # 7 ( April 1942 ),1942
Doiby Dickles,Charles Dickles,Green Lantern ( Alan Scott ),All-American Comics # 27 ( June 1941 ),1941
Fatman,Bob Daley,Mister America,Action Comics # 1 ( June 1938 ),1938
Kid Devil,Edward Alan Bloomberg,Blue Devil,Blue Devil # 14 ( July 1985 ),1985
Kid Flash,Wally West,Flash ( Barry Allen ),Flash ( vol . 1 ) # 110 ( 1959 ),1959
Kid Flash II,Bartholomew Bart Allen II,Flash ( Wally West ),Teen Titans ( vol . 3 ) # 4 ( December 2003 ),1994
Kid Flash III,Wally West II,Flash ( Barry Allen ),Flash ( vol . 4 ) Annual # 3 ( June 2014 ),2014
Signal,Duke Thomas,Batman,Batman ( vol . 2 ) # 21 ( August 2013 ),2016
Lieutenant Marvels,Lt . Tall Marvel ( Tall Billy Batson ) Lt . Fat Marvel ( Fat Billy Batson ) Lt. Hill Marvel ( Hill Billy Batson ),Captain Marvel ( DC ),Whiz Comics # 21 ( September 1941 ),1941
Newsboy Legion,Tommy Tompkins Big Words Gabby Scrapper,Guardian,Star Spangled Comics # 7 ( April 1942 ),1942
Jimmy Olsen,James Bartholomew Olsen,Superman,Superman # 13 ( November-December 1941 ),1941
