No,Race,Pole position,Most laps led,Winning driver,Winning manufacturer
1,NextEra Energy Resources 250,Brennan Newberry,Ty Dillon,Johnny Sauter,Toyota
2,Kroger 250,Jeb Burton,Jeb Burton,Johnny Sauter,Toyota
3,North Carolina Education Lottery 200,Jeb Burton,Kyle Larson,Kyle Larson,Chevrolet
4,SFP 250,James Buescher,James Buescher,Matt Crafton,Toyota
5,North Carolina Education Lottery 200,Jeb Burton,Kyle Busch,Kyle Busch,Toyota
6,Lucas Oil 200,"Darrell Wallace , Jr","Darrell Wallace , Jr",Kyle Busch,Toyota
7,WinStar World Casino 400K,Johnny Sauter,Ty Dillon,Jeb Burton,Chevrolet
8,UNOH 225,Ryan Blaney,"Darrell Wallace , Jr",Ty Dillon,Chevrolet
9,American Ethanol 200,Germán Quiroga,Ty Dillon,Timothy Peters,Toyota
10,Mudsummer Classic,Ken Schrader,Austin Dillon,Austin Dillon,Chevrolet
11,Pocono Mountains 125,Miguel Paludo,Ryan Blaney,Ryan Blaney,Ford
12,Michigan National Guard 200,Jeb Burton,Jeb Burton,James Buescher,Chevrolet
13,UNOH 200,Chase Elliott,Timothy Peters,Kyle Busch,Toyota
14,Chevrolet Silverado 250,James Buescher,Ty Dillon,Chase Elliott,Chevrolet
15,Fan Appreciation 200,Ross Chastain,Ross Chastain,James Buescher,Chevrolet
16,EnjoyIllinois.com 225,Jeb Burton,Kyle Busch,Kyle Busch,Toyota
17,Smith 's 350,Ty Dillon,Matt Crafton,Timothy Peters,Toyota
18,Fred 's 250,Jeb Burton,Ty Dillon,Johnny Sauter,Toyota
19,Kroger 200,Denny Hamlin,"Darrell Wallace , Jr","Darrell Wallace , Jr",Toyota
20,WinStar World Casino 350K,Jeb Burton,Ty Dillon,Ty Dillon,Chevrolet
