Airport name,ICAO / TC LID / ( IATA ),Location
Alexandria Aerodrome,CNS4,"North Glengarry , Ontario"
Hawkesbury Airport,CNV4,"Hawkesbury , Ontario"
Hawkesbury ( East ) Airport,CPG5,"Hawkesbury , Ontario"
Lac Agile ( Mascouche ) Airport,CSA2,Mascouche
Lachute Airport,CSE4,Lachute
Montréal/Aéroparc Île Perrot,CSP6,Montreal
Montréal/Les Cèdres Airport,CSS3,Les Cèdres
Montréal/Saint-Lazare Aerodrome,CST3,Saint-Lazare
Saint-Jean Airport,CYJN ( YJN ),Saint-Jean-sur-Richelieu
Saint-Mathias Aerodrome,CSP5,Saint-Mathias-sur-Richelieu
Saint-Mathias/Grant Aerodrome,CSX5,Saint-Mathias-sur-Richelieu
Saint-Mathieu-de-Beloeil Aerodrome,CSB3,Saint-Mathieu-de-Beloeil
Salaberry-de-Valleyfield Aerodrome,CSD3,Salaberry-de-Valleyfield
Richelieu Airport,CSX3,Richelieu
Richelieu/Messier Aerodrome,CRM3,Richelieu
