Pos,No,Driver,Constructor,Time,Difference
1,5,Michael Schumacher,Ferrari,1:14.672,
2,3,Jacques Villeneuve,Williams - Renault,1:14.859,+ 0.187
3,1,Damon Hill,Arrows - Yamaha,1:15.044,+ 0.372
4,9,Mika Häkkinen,McLaren - Mercedes,1:15.140,+ 0.468
5,6,Eddie Irvine,Ferrari,1:15.424,+ 0.752
6,4,Heinz-Harald Frentzen,Williams - Renault,1:15.520,+ 0.848
7,8,Gerhard Berger,Benetton - Renault,1:15.699,+ 1.027
8,10,David Coulthard,McLaren - Mercedes,1:15.705,+ 1.033
9,7,Jean Alesi,Benetton - Renault,1:15.905,+ 1.233
10,16,Johnny Herbert,Sauber - Petronas,1:16.138,+ 1.466
11,22,Rubens Barrichello,Stewart - Ford,1:16.138,+ 1.466
12,14,Jarno Trulli,Prost - Mugen-Honda,1:16.297,+ 1.625
13,12,Giancarlo Fisichella,Jordan - Peugeot,1:16.300,+ 1.628
14,11,Ralf Schumacher,Jordan - Peugeot,1:16.686,+ 2.014
15,17,Gianni Morbidelli,Sauber - Petronas,1:16.766,+ 2.094
16,15,Shinji Nakano,Prost - Mugen-Honda,1:16.784,+ 2.112
17,23,Jan Magnussen,Stewart - Ford,1:16.858,+ 2.186
18,18,Jos Verstappen,Tyrrell - Ford,1:17.095,+ 2.423
19,2,Pedro Diniz,Arrows - Yamaha,1:17.118,+ 2.446
20,20,Ukyo Katayama,Minardi - Hart,1:17.232,+ 2.560
