State,Contestant,Age,Height,Hometown
Amazonas,Diana Carolina Wood Pérez,24,1.75 m ( 5 ft 9 in ),Puerto Ordaz
Anzoátegui,Catiuska Yenireé Zapata Ynojosa,18,1.78 m ( 5 ft 10 in ),El Tigre
Apure,Jeserly Katherine Gutiérrez Silva,25,1.87 m ( 6 ft 1 ⁄ 2 in ),Barquisimeto
Aragua,Yosddy Alexandra Hernández Badillo,21,1.78 m ( 5 ft 10 in ),Maracay
Barinas,Astrid Yolanda Lozada Silva,24,1.72 m ( 5 ft 7 ⁄ 2 in ),Barinas
Bolívar,Fanny José Ottati Madrid,22,1.77 m ( 5 ft 9 ⁄ 2 in ),Ciudad Guayana
Carabobo,Isabela Ramos Cano,22,1.82 m ( 5 ft 11 ⁄ 2 in ),Valencia
Cojedes,Angela Beatriz Ramírez Gutiérrez,21,1.78 m ( 5 ft 10 in ),Mérida
Delta Amacuro,Ivany Nayexy Guzmán Herrera,22,1.78 m ( 5 ft 10 in ),Tucupita
Distrito Capital,Gabriella Ferrari Peirano,20,1.76 m ( 5 ft 9 ⁄ 2 in ),Valencia
Falcón,Haydeé Margarita Castillo González,22,1.79 m ( 5 ft 10 ⁄ 2 in ),Maracaibo
Guárico,Blanca Cristina Aljibes Gallardo,23,1.79 m ( 5 ft 10 ⁄ 2 in ),Valencia
Lara,Carla Rumaría Rodrigues De Flaviis,19,1.78 m ( 5 ft 10 in ),Barquisimeto
Mérida,Yasmeira Molina Gutiérrez,24,1.78 m ( 5 ft 10 in ),El Vigía
Miranda,María Isabel Zamora Bujanda,22,1.79 m ( 5 ft 10 ⁄ 2 in ),Barquisimeto
Monagas,Rossana Alejandra Medina Barroeta,19,1.77 m ( 5 ft 9 ⁄ 2 in ),Valencia
Nueva Esparta,María Gabriela Quiñones Arzolay,21,1.80 m ( 5 ft 11 in ),Pampatar
Portuguesa,Andrea Carolina Baptista Ruiz,22,1.78 m ( 5 ft 10 in ),Guanare
Sucre,Irene Sofía Esser Quintero,19,1.79 m ( 5 ft 10 in ),Río Caribe
Táchira,Milagro José Manrique Barrios,17,1.78 m ( 5 ft 10 in ),San Cristóbal
