Year,Title,Role,Studio
2018,Kahit Ayaw Mo Na,Reggie,"BluArt Productions , Viva Films"
2017,Meant to Beh,Benjo Marasigan,"OctoArts Films , M-Zet Productions , APT Entertainment"
2017,Fallback,Chris,Cineko
2017,Spirit of the Glass 2 : The Haunted,Enzo,"OctoArts Films , T-Rex Entertainment Productions"
2014,"Shake , Rattle & Roll XV",Bryan,Regal Films
2014,Past Tense,Carlos Santillan,Star Cinema
2014,Endless,Daniel,ABS-CBN ( Pinoy Big Brother : All In )
2013,She 's the One,Jason,Star Cinema
2013,The Bride and the Lover,Sheila 's Husband,Regal Films
2012,Sisterakas,Marlon,Star Cinema
