Church,Dates,"City , State"
"First Baptist Church ( Hoboken , New Jersey )",built NRHP-listed,"Hoboken , New Jersey"
Upper Meeting House of the Baptist Church of Middletown,built NRHP-listed,"Holmdel , New Jersey"
Upper Freehold Baptist Meeting,built NRHP-listed,"Imlaystown , New Jersey"
Orient Baptist Church,built NRHP-listed,"Laurelton , New Jersey"
Manahawkin Baptist Church,built NRHP-listed,"Manahawkin , New Jersey"
Mount Bethel Baptist Meetinghouse,built NRHP-listed,"Martinsville , New Jersey"
Community of St. John Baptist,built NRHP-listed,"Mendham , New Jersey"
Bethany Baptist Church,built NRHP-listed,"Newark , New Jersey"
First Baptist Peddie Memorial Church,built NRHP-listed,"Newark , New Jersey"
New Point Baptist Church,built NRHP-listed,"Newark , New Jersey"
"Calvary Baptist Church ( Ocean View , New Jersey )",built NRHP-listed,"Ocean View , New Jersey"
Cathedral of St. John the Baptist,built NRHP-listed,"Paterson , New Jersey"
Penns Neck Baptist Church,built NRHP-listed,"Penns Neck , New Jersey"
Old Baptist Parsonage,built NRHP-listed,"Scotch Plains , New Jersey"
Old School Baptist Church and Cemetery,built NRHP-listed,"South River , New Jersey"
Locktown Baptist Church,built NRHP-listed,"Stockton , New Jersey"
