District,Population,Municipalities,Parishes,Province of 1936,Region
Aveiro,"714,200",19,147,Beira Litoral Province + Douro Litoral Province,"Norte , Centro"
Beja,"152,758",14,75,Baixo Alentejo,Alentejo
Braga,"848,185",14,347,Minho,Norte
Bragança,"136,252",12,226,Trás-os-Montes e Alto Douro Province,Norte
Castelo Branco,"196,264",11,120,Beira Baixa Province,Centro
Coimbra,"430,104",17,155,"Beira Baixa Province , Beira Litoral",Centro
Évora,"166,706",14,69,Alto Alentejo,Alentejo
Faro,"451,006",16,67,Algarve Province,Algarve
Guarda,"160,939",14,242,Beira Alta Province ( partly Trás-os-Montes e Alto Douro ),"Centro ( partly Norte , only Vila Nova de Foz Côa )"
Leiria,"470,930",16,110,"Beira Litoral Province , Estremadura",Centro
Lisbon,"2,250,533",16,134,Estremadura ( partly Ribatejo ),Lisbon ( partly Alentejo )
Portalegre,"118,506",15,69,Alto Alentejo Province ( partly Ribatejo ),Alentejo
Porto,"1,817,117",18,243,Douro Litoral Province,Norte
Santarém,"453,638",21,141,Ribatejo Province ( partly Beira Baixa and Beira Litoral ),"Centro , Alentejo"
Setúbal,"851,258",13,55,"Estremadura Province , Baixo Alentejo Province","Lisbon , Alentejo"
Viana do Castelo,"244,836",10,208,Minho,Norte
Vila Real,"206,661",14,197,Trás-os-Montes e Alto Douro,Norte
Viseu,"377,653",24,277,"Beira Alta , ( partly Douro Litoral )","Centro , Norte"
