Name,Born,Appointed by,Recommended by,Education,First day / Length of service
Kim Myeong-soo ( Chief Justice ),"October 12 , 1959 ( age 60 ) in Busan , Gyeongsangnam-do",Moon Jae-in,,Seoul National University,"September 25 , 2017 2 years , 4 months"
Ko Young-han,"February 7 , 1955 ( age 64 ) in Gwangju , Jeollanam-do",Lee Myung-Bak,Yang Sung-tae,Seoul National University,"August 13 , 2012 7 years , 5 months"
Kim Chang-suk,"March 2 , 1956 ( age 63 ) in Boryeong , Chungcheongnam-do",Lee Myung-Bak,Yang Sung-tae,Korea University,"August 13 , 2012 7 years , 5 months"
Kim Shin,"March 30 , 1957 ( age 62 ) in Busan , Gyeongsangnam-do",Lee Myung-Bak,Yang Sung-tae,Seoul National University,"August 13 , 2012 7 years , 5 months"
Kim So-young,"November 17 , 1965 ( age 54 ) in Changwon , Gyeongsangnam-do",Lee Myung-Bak,Yang Sung-tae,Seoul National University,"November 2 , 2012 7 years , 2 months"
Jo Hee-de,"June 6 , 1957 ( age 62 ) in Gyeongju , Gyeongsangbuk-do",Park Geun-hye,Yang Sung-tae,Seoul National University,"March 4 , 2014 5 years , 10 months"
Kwon Soon-il,"July 26 , 1959 ( age 60 ) in Nonsan , Chungcheongbuk-do",Park Geun-hye,Yang Sung-tae,Seoul National University,"September 8 , 2014 5 years , 4 months"
Park Sang-ok,"November 13 , 1956 ( age 63 ) in Siheung , Gyeonggi-do",Park Geun-hye,Yang Sung-tae,Seoul National University,"May 8 , 2015 4 years , 8 months"
Lee Ki-taik,"July 9 , 1959 ( age 60 ) in Seoul",Park Geun-hye,Yang Sung-tae,Seoul National University,"September 17 , 2015 4 years , 4 months"
Kim Jae-hyung,"January 23 , 1965 ( age 55 ) in Imsil , Jeollabuk-do",Park Geun-hye,Yang Sung-tae,Seoul National University,"September 5 , 2016 3 years , 4 months"
Cho Jae-youn,"June 1 , 1956 ( age 63 ) in Donghae , Gangwon-do",Moon Jae-in,Yang Sung-tae,Sungkyunkwan University,"July 19 , 2017 2 years , 6 months"
Park Jung-hwa,"October 3 , 1965 ( age 54 ) in Haenam , Jeollanam-do",Moon Jae-in,Yang Sung-tae,Korea University,"July 19 , 2017 2 years , 6 months"
Ahn Chul-sang,"March 5 , 1957 ( age 62 ) in Hapcheon , Gyeongsangnam-do",Moon Jae-in,Kim Myeong-soo,Konkuk University,"January 2 , 2018 2 years"
Min You-sook,"January 31 , 1965 ( age 55 ) in Seoul",Moon Jae-in,Kim Myeong-soo,Seoul National University,"January 2 , 2018 2 years"
