Rank,Athlete,Nationality,Time,Notes
1,Mary Jepkosgei Keitany,Kenya,1:06:36,CR
2,Philes Ongori,Kenya,1:07:38,PB
3,Aberu Kebede,Ethiopia,1:07:39,PB
4,Caroline Cheptanui Kilel,Kenya,1:08:16,PB
5,Mestawet Tufa,Ethiopia,1:09:11,PB
6,Tirfi Tsegaye,Ethiopia,1:09:24,PB
7,Kim Smith,New Zealand,1:09:35,NR
8,Filomena Cheyech Daniel,Kenya,1:09:44,
9,Silvia Skvortsova,Russia,1:09:56,SB
10,Amy Yoder Begley,United States,1:10:09,PB
11,Yurika Nakamura,Japan,1:10:19,
12,Ryoko Kizaki,Japan,1:10:32,
13,Workitu Ayanu,Ethiopia,1:10:35,PB
14,René Kalmer,South Africa,1:10:37,PB
15,Remi Nakazato,Japan,1:10:40,
16,Serena Burla,United States,1:10:55,PB
17,Analía Rosa,Portugal,1:11:08,PB
18,Peninah Arusei,Kenya,1:11:10,
19,Annerien van Schalkwyk,South Africa,1:11:26,PB
20,Dulce María Rodríguez,Mexico,1:11:32,SB
